Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
BSY,Bentley Systems Inc,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%
BACA,Berenson Acquisition Corp I,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLI,Berkeley Lights Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BERK,Berkshire Bancorp Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BGRY,Berkshire Grey Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRK/A,Berkshire Hathaway Inc,9.68%,11.12%,8.31%,10.08%,0.00%,0.00%
BHLB,Berkshire Hills Bancorp Inc,-12.13%,11.90%,-5.02%,10.37%,1.62%,-9.71%
BRY,Berry Corporation (Bry),984.00%,24.72%,38.89%,28.22%,2.47%,0.00%
BERY,Berry Global Group Inc,27.41%,7.31%,7.01%,-0.34%,0.00%,0.00%
BSPK,Bespoke Extracts Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BBY,Best Buy Co Inc,-37.26%,17.52%,-10.23%,1.54%,4.38%,19.89%
BEST,BEST Inc (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTTR,Better Choice Company Inc,0.00%,71.74%,37.31%,32.57%,0.00%,0.00%
BFYW,Better for You Wellness Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTTX,Better Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWAC,Better World Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWMX,Betterware de Mexico SAPI de CV,0.00%,0.00%,0.00%,0.00%,17.18%,0.00%
XAIR,Beyond Air Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BYOC,Beyond Commerce Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BYND,Beyond Meat Inc,-78.75%,33.72%,5.23%,19.99%,0.00%,0.00%
BYSI,Beyondspring Inc,28.05%,-49.15%,-48.19%,92.86%,0.00%,0.00%
BGCP,BGC Partners Inc,3.08%,20.90%,-12.00%,9.79%,0.98%,-42.20%
BGSF,BGSF Inc,-20.74%,21.50%,19.80%,6.93%,4.56%,0.00%
BHP,BHP Group Ltd (ADR),0.00%,0.00%,0.00%,0.00%,12.65%,58.99%
BCYC,Bicycle Therapeutics PLC (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BDVSY,Bidvest Group Ltd - ADR,0.00%,0.00%,0.00%,0.00%,4.78%,0.00%
BGFV,Big 5 Sporting Goods Corp,-69.67%,7.25%,-13.15%,3.21%,7.92%,9.59%
BIG,Big Lots Inc,0.00%,0.00%,-6.00%,2.47%,5.18%,3.10%
BRBMF,Big Rock Brewery Inc (USA),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BSKY,Big Sky Growth Partners Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BBAI,BigBear.ai Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIGC,Bigcommerce Holdings Inc,-121.21%,31.51%,27.40%,22.53%,0.00%,0.00%
BH/A,Biglari Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TWCB,Bilander Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,BILFINGER SE SHS,0.00%,0.00%,0.00%,0.00%,16.37%,36.56%
BILI,Bilibili Inc - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BILL,Bill.com Holdings Inc,-200.00%,5.56%,161.65%,41.11%,0.00%,0.00%
BIMI,Bimi International Medical Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMNM,Bimini Capital Management Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BPTH,Bio Path Holdings Inc,-22.58%,15.79%,0.00%,0.00%,0.00%,0.00%
BIO,Bio Rad Laboratories Inc,-8.17%,5.91%,-2.79%,6.84%,0.00%,0.00%
BKYI,BIO-Key International Inc,76.92%,0.00%,134.65%,33.33%,0.00%,0.00%
TECH,BIO-TECHNE Corp,9.63%,19.19%,11.95%,14.20%,0.34%,0.00%
BCAB,Bioatla Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BCDA,BioCardia Inc,-13.33%,10.59%,-42.66%,-68.56%,0.00%,0.00%
BIOC,Biocept Inc,-294.74%,-93.33%,-21.55%,-85.77%,0.00%,0.00%
BIOX,Bioceres Crop Solutions Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BICX,Biocorrx Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BCRX,BioCryst Pharmaceuticals Inc,-20.39%,36.29%,74.18%,36.00%,0.00%,0.00%
BDSX,Biodesix Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIEL,Bioelectronics Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BFNH,BioForce Nanosciences Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BFAGY,Biofrontera AG (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BFRI,Biofrontera Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIIB,BIOGEN INC COM,-14.41%,-3.77%,-8.95%,-6.42%,0.00%,0.00%
BHVN,Biohaven Pharmaceutical Holding Co Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLGO,BioLargo Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOL,BIOLASE Inc,-10.91%,44.59%,13.95%,13.47%,0.00%,0.00%
BLFS,BioLife Solutions Inc,-809.09%,86.00%,36.96%,23.57%,0.00%,0.00%
BLRX,BioLine RX Ltd - ADR,53.33%,3.57%,0.00%,0.00%,0.00%,0.00%
BMRN,Biomarin Pharmaceutical Inc,0.00%,176.62%,14.82%,27.42%,0.00%,0.00%
BMSPF,Biomass Secure Power Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMEA,Biomea Fusion Inc,-45.98%,-22.44%,0.00%,0.00%,0.00%,0.00%
BMRA,Biomerica Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PHGE,Biomx Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BNET,Bion Environmental Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BNGO,BioNano Genomics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BVXV,Biondvax Pharmaceuticals Ltd - ADR,47.50%,-9.52%,0.00%,0.00%,0.00%,0.00%
BGLC,BioNexus Gene Lab Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BNKL,Bionik Laboratories Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BNTX,BioNTech SE - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BPTS,Biophytis SA (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOS,BioPlus Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOPO,Biopower Operations Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOQ,Bioqual Inc,0.00%,0.00%,0.00%,0.00%,0.00%,25.74%
BQST,Bioquest Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOR,Biora Therapeutics Inc,83.27%,11.63%,-99.61%,-100.00%,0.00%,0.00%
BRTX,BioRestorative Therapies Inc,94.26%,-13.08%,-100.00%,0.00%,0.00%,0.00%
BSGM,BioSig Technologies Inc,21.05%,22.67%,227.44%,437.88%,0.00%,0.00%
BSTG,Biostage Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTMD,biote Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOT,Biotech Acquisition Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTCY,Biotricity Inc,12.50%,85.71%,66.52%,169.99%,0.00%,0.00%
BVS,Bioventus Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIVI,BioVie Inc,92.45%,0.89%,0.00%,0.00%,0.00%,0.00%
BTAI,BioXcel Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIXT,Bioxytran Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRDS,Bird Global Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BGI,Birks Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTB,Bit Brother Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTBT,Bit Digital Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTCM,BIT Mining Ltd - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTOG,Bit Origin Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Bite Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BTTC,Bitech Technologies Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMNR,Bitmine Immersion Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NILE,Bitnile Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BJRI,BJ's Restaurants Inc,37.50%,0.00%,17.30%,5.40%,0.00%,0.00%
BJ^J11,BJ's Wholesale Club Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BKTI,BK Technologies Corp,0.00%,0.00%,0.00%,0.00%,4.98%,-19.73%
BBBT,Black Bird Biotech Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BDTX,Black Diamond Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BKH,Black Hills Corp,9.09%,5.39%,0.66%,0.64%,3.13%,6.39%
BKI^H13,Black Knight Inc,9.24%,10.77%,8.03%,7.41%,0.00%,0.00%
BMAC,Black Mountain Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BSAQ,Black Spade Acquisition Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Black Stone Minerals LP,41.56%,91.74%,11.37%,21.21%,11.29%,-4.04%
BLKB,Blackbaud Inc,-15.79%,12.50%,14.58%,5.44%,0.00%,0.00%
BB,BlackBerry Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLBX,Blackboxstocks Inc,18.52%,0.00%,19.72%,101.79%,0.00%,0.00%
,Blackline Inc,-55.17%,57.69%,23.53%,19.92%,0.00%,0.00%
BFZ,BlackRock California Municil Incm Trust,0.00%,0.00%,0.00%,0.00%,4.37%,0.00%
BCAT,BlackRock Capital Allocation Trust,0.00%,0.00%,0.00%,0.00%,7.95%,0.00%
BKCC,Blackrock Capital Investment Corp,17.24%,11.76%,-42.54%,27.35%,10.18%,-12.73%
BHK,BlackRock Core Bond Trust,0.00%,0.00%,0.00%,0.00%,7.30%,0.00%
HYT,Blackrock Corporate High Yield Fund Inc,0.00%,0.00%,0.00%,0.00%,9.16%,0.00%
BTZ,Blackrock Credit Allocation Income Trust,0.00%,0.00%,0.00%,0.00%,8.63%,0.00%
DSU,BlackRock Debt Strategies Fund Inc,0.00%,0.00%,0.00%,0.00%,7.20%,0.00%
BGR,Blackrock Energy and Resources Trust,0.00%,0.00%,0.00%,0.00%,5.05%,0.00%
CII,BlackRock Enhancd Cptl And Incm Fund Inc,0.00%,0.00%,0.00%,0.00%,5.92%,0.00%
BDJ,Blackrock Enhanced Equity Dividend Trust,0.00%,0.00%,0.00%,0.00%,7.01%,0.00%
BOE,BlackRock Enhanced Global Dividend Trust,0.00%,0.00%,0.00%,0.00%,7.19%,0.00%
EGF,BlackRock Enhanced Government Fund Inc,0.00%,0.00%,0.00%,0.00%,4.65%,0.00%
BGY,BlackRock Enhanced Interntnl Dvdnd Trust,0.00%,0.00%,0.00%,0.00%,7.64%,0.00%
ECAT,BlackRock ESG Capital Allocation Trust,0.00%,0.00%,0.00%,0.00%,7.79%,0.00%
BGT,BlackRock Floating Rate Income Trust,0.00%,0.00%,0.00%,0.00%,6.40%,0.00%
FRA,BlackRock Flotng Rt Incm Strtgs Fund Inc,0.00%,0.00%,0.00%,0.00%,6.31%,0.00%
BME,Blackrock Health Sciences Trust,0.00%,0.00%,0.00%,0.00%,5.83%,-4.05%
,BlackRock Health Sciences Trust II,0.00%,0.00%,0.00%,0.00%,10.05%,0.00%
BLK,BlackRock Inc,-14.01%,12.08%,-5.96%,7.27%,2.68%,12.52%
BKT,Blackrock Income Trust Inc,0.00%,0.00%,0.00%,0.00%,7.41%,0.00%
BIGZ,BlackRock Innovation & Growth Trust,0.00%,0.00%,0.00%,0.00%,8.99%,0.00%
BKN,BlackRock Investment Quly Mncpl Trst Inc,0.00%,0.00%,0.00%,0.00%,5.06%,1.86%
BTA,BlackRock Long Term Municpl Advntg Trust,0.00%,0.00%,0.00%,0.00%,5.32%,1.51%
BLW,BlackRock Ltd Duration Income Trust,0.00%,0.00%,0.00%,0.00%,8.48%,0.00%
MUJ,BlackRock Mnhldngs Nw Jrsy Qlty Fund Inc,0.00%,0.00%,0.00%,0.00%,5.63%,0.00%
BIT,Blackrock Multi-Sector Income Trust,0.00%,0.00%,0.00%,0.00%,8.89%,1.17%
MUA,BlackRock MuniAssets Fund Inc,0.00%,0.00%,0.00%,0.00%,4.33%,0.57%
BTT,Blackrock Municipal 2030 Target Trm Trst,0.00%,0.00%,0.00%,0.00%,3.19%,-4.85%
MUI,Blackrock Municipal Income Fund Inc,0.00%,0.00%,0.00%,0.00%,5.06%,-4.31%
BYM,BlackRock Municipal Income Quality Trust,0.00%,0.00%,0.00%,0.00%,5.04%,59.72%
BFK,Blackrock Municipal Income Trust,0.00%,0.00%,0.00%,0.00%,4.89%,11.45%
BLE,BlackRock Municipal Income Trust II,0.00%,0.00%,0.00%,0.00%,5.22%,-4.36%
MHD,BlackRock MuniHoldings Fund Inc,0.00%,0.00%,0.00%,0.00%,5.31%,-5.82%
MHN,Blackrock Muniholdings New York Qulty Fd,0.00%,0.00%,0.00%,0.00%,4.70%,0.00%
MUE,BlackRock MuniHoldings QualityFnd II Inc,0.00%,0.00%,0.00%,0.00%,5.33%,-5.51%
MUC,BlackRock Muniholdngs Clfrn Qlty Fnd Inc,0.00%,0.00%,0.00%,0.00%,5.18%,0.00%
MVT,BlackRock MuniVest Fund II Inc,0.00%,0.00%,0.00%,0.00%,5.00%,8.93%
MVF,BlackRock MuniVest Fund Inc,0.00%,0.00%,0.00%,0.00%,5.12%,-8.59%
MYD,BlackRock MuniYield Fund Inc,0.00%,0.00%,0.00%,0.00%,5.20%,8.30%
MIY,Blackrock Muniyield Michign Qulty Fd Inc,0.00%,0.00%,0.00%,0.00%,4.89%,0.00%
MYN,BlackRock MuniYield NewYork Qlty Fnd Inc,0.00%,0.00%,0.00%,0.00%,4.42%,0.00%
MPA,BlackRock Muniyield Pennsylvania QltyFnd,0.00%,0.00%,0.00%,0.00%,4.69%,0.00%
MQT,BlackRock MuniYield Quality Fund II Inc,0.00%,0.00%,0.00%,0.00%,5.08%,-2.88%
MYI,Blackrock Muniyield Quality Fund III Inc,0.00%,0.00%,0.00%,0.00%,5.03%,-7.04%
MQY,Blackrock Muniyield Quality Fund Inc.,0.00%,0.00%,0.00%,0.00%,5.03%,11.45%
BNY,BlackRock New York Municipal Incom Trust,0.00%,0.00%,0.00%,0.00%,4.74%,0.00%
BCX,BlackRock Resources&Commdts Strtgy Trst,0.00%,0.00%,0.00%,0.00%,5.68%,-2.15%
BST,BlackRock Science & Technology Trust,0.00%,0.00%,0.00%,0.00%,7.93%,17.82%
BSTZ,Blackrock Science and Technology TrustII,0.00%,0.00%,0.00%,0.00%,10.26%,0.00%
BBN,Blackrock Taxable Municipal Bond Trust,0.00%,0.00%,0.00%,0.00%,7.42%,0.00%
TCPC,BlackRock TCP Capital Corp,11.90%,1.42%,5.62%,4.26%,8.51%,-3.58%
BUI,Blackrock Utlts Infra&Pwr Oprtnt Trst,0.00%,0.00%,0.00%,0.00%,5.98%,0.00%
BHV,BlackRock Virginia Municipal Bond Trust,0.00%,0.00%,0.00%,0.00%,3.64%,-7.45%
BKSY,Blacksky Technology Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BX,Blackstone Inc,9.22%,11.90%,11.11%,7.73%,5.50%,16.55%
BGX,Blackstone Long-Short Credit Income Fund,0.00%,0.00%,0.00%,0.00%,7.51%,0.00%
BXMT,Blackstone Mortgage Trust Inc,0.76%,2.65%,13.63%,5.25%,8.17%,0.00%
BXSL,Blackstone Secured Lending Fund,0.00%,0.00%,0.00%,0.00%,8.40%,0.00%
,Blackstone Senior Floating Rate Trm Fnd,0.00%,0.00%,0.00%,0.00%,6.34%,0.00%
BGB,Blackstone Strategic Credit Fund,0.00%,0.00%,0.00%,0.00%,6.66%,-7.42%
BLDE,Blade Air Mobility Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLND,Blend Labs Inc,17.05%,19.18%,-0.93%,4.76%,0.00%,0.00%
BLEU,Bleuacacia Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLNK,Blink Charging Co,12.12%,-48.28%,148.95%,65.08%,0.00%,0.00%
SQ,Block Inc,-48.54%,78.41%,0.08%,19.18%,0.00%,0.00%
BCSA,Blockchain Coinvestors Acqustn Corp I,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BCII,Blockchain Industries Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMAQ,Blockchain Moon Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BDRL,Blonder Tongue Laboratories Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BE,Bloom Energy Corp,27.27%,0.00%,17.01%,30.83%,0.00%,0.00%
BLMN,Bloomin' Brands Inc,-10.37%,14.05%,7.19%,4.23%,2.41%,0.00%
BLMS,Bloomios Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TAER,BLOOMSMORE GROUP LTD,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BCOR,Blucora Inc,3.98%,57.38%,3.69%,7.91%,0.00%,0.00%
APRN,Blue Apron Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BIOF,Blue Biofuels Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLBD,Blue Bird Corp,0.00%,0.00%,11.79%,30.73%,0.00%,0.00%
BDCO,Blue Dolphin Energy Company,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLFR,Blue Fire Equipment Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLFY,Blue Foundry Bancorp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BHAT,Blue Hat Interactv Entrtnmnt Technlgy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLPG,Blue Line Protection Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOCN,Blue Ocean Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
OWL,Blue Owl Capital Inc,0.00%,0.00%,0.00%,0.00%,3.42%,0.00%
BRBS,Blue Ridge Bankshares Inc,0.00%,0.00%,0.00%,0.00%,3.23%,0.00%
BSGA,Blue Safari Group Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BSFC,Blue Star Foods Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWV,Blue Water Vaccines Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWC,Blue Whale Acquisition I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWAQ,Blue World Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLUE,bluebird bio Inc,61.82%,49.34%,994.51%,1.40%,0.00%,0.00%
BLCT,BlueCity Holdings Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BVH,Bluegreen Vacations Holding Corp,32.62%,12.70%,12.73%,1.36%,2.54%,0.00%
BJDX,Bluejay Diagnostics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BKEP,Blueknight Energy Partners L.P.,0.00%,0.00%,0.00%,0.00%,3.66%,-22.71%
BXC,BlueLinx Holdings Inc.,4.50%,-48.09%,6.12%,-15.48%,0.00%,0.00%
BPMC,Blueprint Medicines Corp,15.53%,13.98%,7.00%,64.09%,0.00%,0.00%
BLUA,BlueRiver Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRG,Bluerock Residential Growth REIT Inc,0.00%,0.00%,0.00%,0.00%,2.51%,-10.94%
BOAC,Bluescape Opportunities Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMTX,Bm Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BMCS,BMCS Sumcoin Index Fund Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BNCC,"BNCCORP, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DCF,BNY Mellon Alcentra Glb Cr Inc 2024 TTFI,0.00%,0.00%,0.00%,0.00%,7.84%,0.00%
DHF,BNY Mellon High Yield Strategies Fund,0.00%,0.00%,0.00%,0.00%,9.10%,0.00%
DMB,BNY Mellon Municipal Bond InfrstrcFndInc,0.00%,0.00%,0.00%,0.00%,4.53%,-2.05%
DMF,Bny Mellon Municipal Income Inc,0.00%,0.00%,0.00%,0.00%,4.06%,-4.87%
DSM,BNY Mellon Strategic Municipal BndFndInc,0.00%,0.00%,0.00%,0.00%,5.37%,-6.28%
LEO,BNY Mellon Strategic Municipals Inc,0.00%,0.00%,0.00%,0.00%,5.16%,-4.03%
BOAS,BOA Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOWFF,Boardwalk REIT (USA),0.00%,0.00%,0.00%,0.00%,2.15%,-13.42%
BTIM,Boatim Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BHKLY,Boc Hong Kong (Holdings) Ltd (ADR),0.00%,0.00%,0.00%,0.00%,4.01%,0.00%
BA,Boeing Co,79.56%,0.00%,13.01%,24.03%,0.00%,0.00%
BSBK,Bogota Financial Corp,0.00%,3.85%,21.91%,5.11%,0.00%,0.00%
BCC,Boise Cascade Co,13.36%,-51.84%,5.95%,-10.71%,0.67%,0.00%
BOKF,BOK Financial Corp,-23.69%,15.37%,-7.26%,10.70%,2.27%,3.85%
BOLT,Bolt Biotherapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BON,Bon Natural Life Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BONL,Bonal International Inc,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%
BONZ,Bonanza Goldfields Corp.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BBLG,Bone Biologics Corp,-74.29%,-4.92%,0.00%,0.00%,0.00%,0.00%
BNSO,Bonso Electronics International Inc.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BKNG,Booking Holdings Inc,110.68%,26.58%,53.28%,14.12%,0.00%,0.00%
BOMH,Boomer Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOOT,Boot Barn Holdings Inc,-4.74%,6.47%,12.47%,9.01%,0.00%,0.00%
BAH,Booz Allen Hamilton Holding Corporation,3.80%,11.67%,7.94%,6.79%,1.82%,19.96%
BQ,Boqii Holding Ltd (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOREF,Borealis Exploration Limited,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWA,BorgWarner Inc.,2.41%,19.76%,5.86%,10.62%,1.71%,5.11%
BRQS,Borqs Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWMY,Borrowmoney.Com Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOSC,BOS Better Online Solutions Ltd (USA),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BSHI,Boss Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SAM,Boston Beer Company Inc,649.57%,31.70%,-0.75%,6.51%,0.00%,0.00%
BOC,BOSTON OMAHA Corp,-77.47%,-87.80%,39.61%,9.22%,0.00%,0.00%
BXP,"Boston Properties, Inc.",10.73%,-5.98%,4.60%,3.56%,4.37%,8.56%
BSX,Boston Scientific Corporation,7.98%,12.50%,7.23%,7.14%,0.00%,0.00%
BORT,Botetourt Bankshares Inc,0.00%,0.00%,0.00%,0.00%,2.68%,0.00%
BTZI,Bots Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOWL,Bowlero Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWTL,Bowlin Travel Centers Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BWMN,Bowman Consulting Group Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOX,Box Inc,23.53%,40.00%,38.22%,14.84%,0.00%,0.00%
BOXD,Boxed Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOXL,Boxlight Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOXS,Boxscore Brands Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BYD,Boyd Gaming Corporation,7.81%,-5.43%,3.18%,-1.70%,1.06%,0.00%
BP,BP plc (ADR),96.09%,-13.94%,61.35%,-7.21%,4.59%,0.00%
BPT,BP Prudhoe Bay Royalty Trust,0.00%,0.00%,0.00%,0.00%,19.89%,-45.98%
BRMSY,BR Malls Participacoes SA (ADR),0.00%,0.00%,0.00%,0.00%,0.60%,0.00%
BRC,Brady Corp,16.60%,15.53%,14.47%,2.87%,1.84%,1.67%
BHR,Braemar Hotels & Resorts Inc,0.00%,76.92%,52.29%,4.19%,0.74%,0.00%
BRSF,Brain Scientific Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BCLI,Brainstorm Cell Therapeutics Inc,11.76%,-6.67%,0.00%,0.00%,0.00%,0.00%
BDN,Brandywine Realty Trust,0.00%,0.00%,2.67%,4.90%,8.63%,3.82%
BWG,Brandywineglbl Global Incm Opp Fund Inc,0.00%,0.00%,0.00%,0.00%,11.69%,-5.03%
BAK,Braskem SA (ADR),-47.62%,-48.97%,5.53%,-4.22%,23.95%,0.00%
BRAV,Bravada International Ltd.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRVO,Bravo Multinational Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRZE,Braze Inc,5.88%,21.25%,45.71%,35.03%,0.00%,0.00%
BMIX,Brazil Minerals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRCC,BRC Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BFH,Bread Financial Holdings Inc,-59.44%,64.38%,15.02%,9.84%,1.91%,10.07%
BREZ,Breeze Holdings Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BRFS,BRF SA (ADR),0.00%,0.00%,14.97%,6.44%,0.00%,0.00%
BBI,Brickell Biotech Inc,61.72%,2.73%,"1,323.76%",-34.87%,0.00%,0.00%
BRDG,Bridge Investment Group Holdings Inc,0.00%,0.00%,0.00%,0.00%,6.56%,0.00%
BBIO,BridgeBio Pharma Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BLIN,Bridgeline Digital Inc,0.00%,0.00%,26.13%,12.42%,0.00%,0.00%
BRDCY,Bridgestone Corp (ADR),0.00%,0.00%,0.00%,0.00%,4.89%,0.00%
