Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
ACER,Acer Therapeutics Inc,-200.93%,91.08%,-100.00%,0.00%,0.00%,0.00%
AVHI,Achari Ventures Holdings Corp I,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACHV,Achieve Life Sciences Inc,10.54%,20.27%,0.00%,"6,287.90%",0.00%,0.00%
ACHL,Achilles Therapeutics PLC (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACIW,ACI Worldwide Inc,23.15%,28.57%,4.32%,4.71%,0.00%,0.00%
ACKIU,Ackrell SPAC Partners I Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACON,Aclarion Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACRS,Aclaris Therapeutics Inc,-38.68%,-5.44%,-8.33%,11.07%,0.00%,0.00%
ACMR,ACM Research Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACU,Acme United Corporation,0.00%,0.00%,0.00%,0.00%,1.96%,5.39%
ACNB,ACNB Corporation,0.00%,0.00%,0.00%,0.00%,2.95%,4.77%
ACOR,Acorda Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACFN,Acorn Energy Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACR,Acres Commercial Realty Corp,0.00%,134.33%,11.53%,13.07%,0.00%,0.00%
ACAC,ACRI Capital Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACBM,ACRO Biomedical Co Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACRO,Acropolis Infrastructure Acquisitin Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ASNS,Actelis Networks Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ATNM,Actinium Pharmaceuticals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ATVI,"Activision Blizzard, Inc.",-23.92%,34.98%,-3.87%,20.07%,0.58%,12.57%
AYI,"Acuity Brands, Inc.",23.99%,4.12%,15.20%,2.79%,0.29%,0.00%
ABOS,Acumen Pharmaceuticals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACUR,"Acura Pharmaceuticals, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACXP,Acurx Pharmaceuticals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GOLF,Acushnet Holdings Corp,17.23%,5.38%,4.70%,2.21%,1.40%,0.00%
AFIB,Acutus Medical Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACVA,ACV Auctions Inc,-12.90%,25.71%,21.87%,22.72%,0.00%,0.00%
ADAG,Adagene Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADGI,Adagio Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADMG,Adamant DRI Processing&Minerals Group,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADMP,Adamis Pharmaceuticals Corp,53.13%,66.67%,-5.12%,114.92%,0.00%,0.00%
ADX,Adams Diversified Equity Fund Inc,0.00%,0.00%,0.00%,0.00%,1.12%,0.00%
PEO,Adams Natural Resources Fund Inc,0.00%,0.00%,0.00%,0.00%,2.58%,-9.31%
AE,Adams Resources & Energy Inc,0.00%,0.00%,0.00%,0.00%,2.74%,1.76%
AHCO,Adapthealth Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADAP,Adaptimmune Therapeutics PLC - ADR,-12.75%,12.17%,252.66%,90.16%,0.00%,0.00%
ADPT,Adaptive Biotechnologies Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADRA,Adara Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADCT,ADC Therapeutics SA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
