Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
CTSO,Cytosorbents Corp,-2.99%,-11.00%,-23.44%,-6.05%,-74.66%,0.81
CYTR,CytRx Corporation,16.90%,21.00%,9.75%,-6.62%,-84.12%,
CYCA,Cytta Corp,-21.88%,-19.00%,-26.44%,-46.89%,-3.50%,
CYXT,Cyxtera Technologies Inc,-4.88%,4.00%,-8.86%,3.18%,28.75%,1.01
DNZ,D and Z Media Acquisition Corp,0.05%,0.00%,-9.20%,-5.91%,7.73%,0
DHI,D R Horton Inc,5.66%,7.00%,-4.00%,13.01%,-13.66%,1.27
QBTS,D-Wave Quantum Inc,39.52%,0.00%,9.90%,14.68%,31.16%,
DALS,Da32 Life Science Tech Acquisition Corp,-0.10%,0.00%,-9.42%,-6.44%,2.94%,0.02
DBIN,Dacotah Banks Inc,0.00%,-3.00%,-12.23%,-8.12%,11.33%,
DADA,Dada Nexus Ltd - ADR,5.06%,-13.00%,-25.59%,9.43%,-67.44%,2.3
DJCO,Daily Journal Corporation,-0.74%,7.00%,-4.16%,-1.73%,-17.42%,0.96
DTRUY,Daimler Truck Holding AG (ADR),0.00%,21.00%,0.00%,0.00%,0.00%,
DLYT,Dais Corp,-6.67%,-30.00%,-36.79%,-79.87%,32.91%,
DC,Dakota Gold Corp,4.90%,33.00%,15.77%,23.71%,0.00%,
DAKT,Daktronics Inc,1.80%,23.00%,10.71%,16.03%,-31.59%,0.81
DALN,Dallasnews Corp,4.62%,9.00%,-1.09%,-4.50%,2.00%,0.24
DFCO,Dalrada Financial Corporation,37.47%,0.00%,-7.90%,-40.41%,16.83%,
DAN,Dana Inc,1.81%,15.00%,3.46%,6.72%,-28.42%,1.66
DHR,Danaher Corporation,0.90%,14.00%,4.70%,14.77%,-0.67%,0.94
DAC,Danaos Corporation,4.19%,28.00%,18.38%,-7.35%,13.82%,0.89
DNMR,Danimer Scientific Inc,1.04%,-3.00%,-15.91%,31.83%,-70.21%,2.48
DANOY,Danone SA (ADR),0.45%,4.00%,-7.07%,-9.71%,-21.37%,
DQ^B10,Daqo New Energy Corp (ADR),13.12%,6.00%,-8.13%,75.87%,22.48%,1.55
