Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
MXE,Mexico Equity and Income Fund Inc,0.00%,5.00%,0.00%,0.00%,0.00%,0.48
MXF,Mexico Fund Inc,0.00%,1.00%,0.00%,0.00%,0.00%,0.55
MXSG,Mexus Gold US,10.53%,-16.00%,-24.15%,-34.57%,-89.85%,
MFA,"MFA Financial, Inc.",-4.35%,8.00%,-4.32%,-18.94%,-31.50%,1.02
MCR,MFS Charter Income Trust,-0.15%,9.00%,-2.30%,-1.66%,-17.38%,0.23
MGF,MFS Government Markets Income Trust,-1.08%,4.00%,-6.90%,-4.97%,-12.98%,0.04
CXE,MFS High Income Municipal Trust,1.23%,5.00%,-5.83%,-3.25%,-19.40%,0.27
CMU,MFS High Yield Municipal Trust,-1.38%,3.00%,-7.64%,-3.01%,-21.08%,0.19
CIF,MFS Intermediate High Income Fund,1.43%,10.00%,-0.04%,-6.97%,-30.72%,0.39
MIN,MFS Intermediate Income Trust,0.33%,2.00%,-7.87%,-7.14%,-14.50%,0.06
CXH,MFS Investment Grade Municipal Trust,-0.37%,3.00%,-6.13%,-0.81%,-18.77%,0.2
MMT,MFS Multimarket Income Trust,1.02%,9.00%,-1.78%,-2.19%,-18.46%,0.31
MFM,MFS Municipal Income Trust,0.34%,3.00%,-7.48%,-2.87%,-15.00%,0.27
MFV,MFS Special Value Trust,1.04%,7.00%,-3.73%,-22.69%,-24.33%,0.42
MGEE,"MGE Energy, Inc.",1.47%,9.00%,-1.11%,-3.66%,9.72%,0.19
MTG,MGIC Investment Corp.,3.16%,10.00%,1.25%,5.93%,6.10%,0.98
MGM,MGM Resorts International,0.82%,18.00%,7.21%,-8.11%,-8.52%,1.63
MGPI,MGP Ingredients Inc,6.82%,6.00%,-4.04%,8.35%,72.86%,0.66
MGTI,MGT Capital Investments Inc.,11.11%,11.00%,-3.68%,-34.98%,-80.12%,
MAJJ,Michael Anthony Holdings Inc,-5.26%,0.00%,-14.45%,-11.45%,-6.00%,
MFGP,Micro Focus International PLC - ADR,4.94%,11.00%,2.51%,-21.71%,-33.49%,1.35
FHAI,Microalliance Group Inc,0.00%,0.00%,-11.18%,-15.03%,152.91%,
MBOT,Microbot Medical Inc,0.41%,10.00%,-3.76%,-0.59%,-24.15%,0.94
MCHP,Microchip Technology Inc.,-3.46%,16.00%,7.57%,2.34%,-1.01%,1.48
MICR,Micron Solutions Inc,28.89%,29.00%,9.80%,75.44%,-3.90%,
MU,"Micron Technology, Inc.",-4.44%,3.00%,-5.80%,-14.29%,-14.76%,1.58
MPAD,"Micropac Industries, Inc.",0.00%,0.00%,-1.27%,1.12%,22.40%,
MSFT,Microsoft Corporation,2.37%,14.00%,3.32%,3.73%,6.38%,1.23
MSTR,MicroStrategy Incorporated,7.05%,64.00%,55.06%,86.60%,-52.85%,3.53
MVST,Microvast Holdings Inc,-2.41%,32.00%,15.52%,-14.23%,-77.19%,1.55
MVIS,"Microvision, Inc.",2.55%,14.00%,4.15%,97.44%,-61.56%,2.26
MFCO,"Microwave Filter Co., Inc",1.35%,0.00%,-8.48%,-14.51%,21.59%,
MICT,MICT Inc,5.60%,23.00%,7.41%,-0.85%,-58.60%,1.03
MPB,"Mid Penn Bancorp, Inc.",1.90%,13.00%,1.64%,7.08%,16.17%,0.65
MAA,Mid-America Apartment Communities Inc,3.76%,10.00%,-1.20%,-2.50%,5.15%,0.57
MSVB,Mid-Southern Bancorp Inc,4.25%,3.00%,-9.90%,-5.24%,-4.71%,0.12
MTP^H12,Midatech Pharma PLC-ADR,0.26%,6.00%,-1.62%,28.76%,-59.51%,0.97
MIDD,Middleby Corp,2.22%,21.00%,10.21%,8.40%,-17.12%,1.1
MBCN,Middlefield Banc Corp,3.53%,8.00%,-3.67%,-1.61%,17.76%,0.1
MSEX,Middlesex Water Company,0.66%,6.00%,-4.12%,-1.98%,-7.68%,0.39
MCPH,Midland Capital Holdings Corp,-1.01%,0.00%,-10.61%,-8.40%,-17.71%,
MSBI,Midland States Bancorp Inc,3.00%,15.00%,1.59%,-1.01%,14.84%,0.5
MEEC,Midwest Energy Emissions Corp,-5.83%,-7.00%,-14.97%,5.62%,-68.98%,
MDWT,Midwest Holding Inc,5.99%,3.00%,-11.97%,19.24%,-67.86%,0.67
MOFG,Midwestone Financial Group Inc (IOWA),2.66%,14.00%,1.18%,2.91%,12.81%,0.53
MIST,Milestone Pharmaceuticals Inc,-6.91%,5.00%,-3.35%,9.16%,27.68%,0.84
MLSS,Milestone Scientific Inc.,5.56%,5.00%,-6.42%,22.05%,-30.96%,1.73
MCVT,Mill City Ventures III Ltd,-41.78%,0.00%,-57.94%,-59.19%,-52.80%,
MLMN,"Millennium Prime, Inc.",-17.07%,-23.00%,-30.22%,4.19%,-4.46%,
MILC,Millennium Sustainable Ventures Corp,5.56%,90.00%,90.63%,18.39%,-40.41%,
MLR,"Miller Industries, Inc.",-2.82%,3.00%,-4.79%,-11.47%,-35.52%,0.51
HIE,Miller/Howard High Income Equity Fund,0.00%,9.00%,0.00%,0.00%,0.00%,0.88
MLKN,MillerKnoll Inc,0.45%,16.00%,2.75%,4.23%,-23.59%,1.21
TIGO,Millicom International Cellular SA (USA),2.90%,20.00%,4.49%,-32.76%,-57.23%,1.25
MMTRS,Mills Music Trust,0.00%,-5.00%,0.00%,0.00%,0.00%,
MDXG,MiMedx Group Inc,13.28%,21.00%,5.14%,18.75%,-63.08%,1.68
MNAO,Minaro Corp,0.00%,0.00%,0.00%,0.00%,0.00%,
MGHCF,Minco Capital Corp (USA),11.11%,3.00%,-6.39%,-28.75%,-45.75%,
MNDO,MIND C.T.I. Ltd.,0.00%,2.00%,-9.70%,-4.50%,-25.49%,0.42
MIND,Mind Technology Inc,2.33%,5.00%,-4.84%,-20.36%,-58.14%,0.89
MNBEY,Minebea Mitsumi Inc (ADR),0.00%,14.00%,0.00%,0.00%,0.00%,
RITE,MineralRite Corp,14.29%,-11.00%,-3.68%,647.74%,-39.78%,
MTX,Minerals Technologies Inc,-0.11%,3.00%,-4.49%,-8.27%,-16.47%,0.83
NERV,Minerva Neurosciences Inc,27.61%,10.00%,-5.27%,-0.48%,-71.67%,0.84
UTRS,Minerva Surgical Inc,-12.96%,6.00%,-6.93%,10.38%,0.00%,0.81
YGMZ,MingZhu Logistics Holdings Ltd,16.33%,33.00%,18.77%,81.95%,-21.70%,0.65
MINM,Minim Inc,7.29%,-5.00%,-23.19%,-36.97%,-82.46%,0.79
MNSO,MINISO Group Holding Ltd - ADR,-6.42%,-16.00%,-18.80%,5.26%,-59.94%,1.61
INKT,Mink Therapeutics Inc,15.79%,29.00%,16.86%,11.58%,0.00%,1.3
MEOA,Minority Equality Opportunts Acqstn Inc,0.10%,0.00%,-9.34%,-5.60%,0.00%,0
MRGE,Mirage Energy Corp,0.00%,-53.00%,-57.86%,111.05%,-94.95%,
MRTX,Mirati Therapeutics Inc,15.70%,38.00%,20.82%,48.88%,-40.15%,1.05
MIR,Mirion Technologies Inc,3.78%,31.00%,20.19%,20.24%,-18.91%,1.52
MIRO,Miromatrix Medical Inc,0.00%,1.00%,-5.97%,-30.40%,-76.55%,0.14
MIRM,Mirum Pharmaceuticals Inc,7.00%,5.00%,-9.12%,7.38%,86.98%,0.45
MF,Missfresh Ltd (ADR),38.40%,-58.00%,-61.54%,-40.99%,-96.53%,1.19
MACC,Mission Advancement Corp,0.10%,0.00%,-9.33%,-5.96%,7.12%,0.01
AVO,Mission Produce Inc,5.88%,8.00%,-2.68%,16.54%,-15.24%,0.59
MVLY,Mission Valley Bancorp,4.16%,1.00%,-4.62%,-1.27%,2.84%,
MCW,Mister Car Wash Inc,0.41%,7.00%,-3.62%,-6.15%,-36.49%,1.06
MG,Mistras Group Inc,-2.01%,5.00%,-4.26%,11.00%,-37.31%,0.81
MITK,"Mitek Systems, Inc.",0.88%,29.00%,13.32%,15.90%,-42.96%,1.27
MITI,Mitesco Inc,4.54%,3.00%,-6.20%,-8.43%,-51.69%,
MUFG,Mitsubishi UFJ Financial Group Inc (ADR),-1.10%,4.00%,-9.36%,-10.21%,3.64%,0.51
MITSY,Mitsui & Co Ltd (ADR),3.22%,10.00%,-0.86%,-10.47%,0.69%,
MIXT,MiX Telematics Ltd - ADR,4.35%,1.00%,-4.80%,-22.41%,-41.34%,0.74
MFG,Mizuho Financial Group Inc. (ADR),0.84%,7.00%,-5.79%,-2.91%,-12.43%,0.51
MJHI,MJ Harvest Inc,-11.11%,-9.00%,-19.73%,-57.27%,-54.55%,
MJNE,MJ Holdings Inc,-0.22%,0.00%,-13.13%,5.78%,-19.04%,
MKSI,"MKS Instruments, Inc.",-4.53%,15.00%,4.83%,-2.79%,-19.34%,1.6
MMEX,MMEX Resources Corp,-24.92%,-10.00%,-18.31%,-63.45%,-94.46%,
MTC^K10,MMTec Inc,-46.80%,57.00%,35.20%,-8.54%,-82.91%,0.21
MGAM,Mobile Global Esports Inc,-29.95%,0.00%,0.00%,0.00%,0.00%,
MOBO,Mobile Lads Corp,-27.69%,-41.00%,-29.27%,-32.42%,41.51%,
MOST,MobileSmith Inc,-12.35%,-25.00%,-29.05%,-34.72%,-35.60%,
MOBQ,Mobiquity Technologies Inc,-12.88%,8.00%,-2.12%,81.07%,-81.75%,0.36
MOBVU,Mobiv Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,
MFON,Mobivity Holdings Corp,-11.50%,-12.00%,-17.54%,24.62%,-39.78%,
MODN,Model N Inc,28.69%,33.00%,22.21%,33.22%,-0.79%,1.08
MPAC,Model Performance Acquisition Corp,0.20%,0.00%,-9.35%,-5.61%,8.56%,0
MRNA,Moderna Inc,-6.55%,9.00%,-8.10%,31.97%,-59.79%,1.76
MOD,Modine Manufacturing Co.,20.85%,44.00%,32.51%,87.05%,18.53%,1.39
MDV,Modiv Inc,-3.00%,0.00%,-14.55%,-17.40%,0.00%,0.32
MODV,ModivCare Inc,9.57%,26.00%,17.91%,10.82%,-33.74%,1.18
MODD,Modular Medical Inc,-2.12%,-6.00%,-15.81%,9.32%,-59.98%,0.38
MC,Moelis & Co,0.77%,12.00%,5.38%,4.62%,-18.11%,1.16
MOGU,Mogu Inc - ADR,9.14%,9.00%,-11.75%,0.09%,-84.13%,1.03
MHK,"Mohawk Industries, Inc.",3.45%,0.00%,-10.89%,-15.21%,-34.85%,1.02
MJDS,Mojo Digital Assets Inc,-50.00%,36.00%,-38.60%,-37.69%,-32.40%,
MGYOY,MOL Magyar Olajes Gazipari Nyrt - ADR,0.00%,9.00%,0.00%,0.00%,0.00%,
MOLN,Molecular Partners AG (ADR),-2.45%,5.00%,-5.72%,4.44%,-63.11%,0.66
MTEM,Molecular Templates Inc,4.68%,-17.00%,-24.75%,-33.79%,-87.15%,1.68
MBRX,Moleculin Biotech Inc,4.91%,2.00%,-8.63%,31.01%,-41.49%,1.06
MOH,"Molina Healthcare, Inc.",0.52%,10.00%,5.47%,6.82%,35.73%,0.6
TAP,Molson Coors Beverage Co,2.82%,-5.00%,-13.62%,-6.70%,14.68%,0.47
MNTV,Momentive Global Inc,-9.74%,-9.00%,-17.93%,-34.00%,-60.89%,1.59
MNTS,Momentus Inc,7.58%,13.00%,-4.78%,-15.28%,-78.56%,2.13
MCRI,"Monarch Casino & Resort, Inc.",-0.24%,18.00%,5.50%,-5.08%,4.61%,1.14
MCEM,Monarch Cement Co,0.00%,5.00%,-9.70%,-6.53%,8.68%,
MNDY,Monday.Com Ltd,17.64%,54.00%,29.34%,39.57%,-35.25%,2.77
MOND,Mondee Holdings Inc,2.18%,0.00%,-24.32%,-19.68%,-9.54%,
MDLZ,Mondelez International Inc,-1.01%,6.00%,-6.06%,-8.09%,9.51%,0.55
MGI,Moneygram International Inc,0.87%,4.00%,-7.11%,-0.91%,15.61%,0.32
MDB,Mongodb Inc,12.08%,36.00%,16.31%,46.73%,9.96%,2.72
SCTY,Monitronics International Inc,0.00%,0.00%,-13.31%,79.46%,-94.81%,
MPWR,"Monolithic Power Systems, Inc.",1.12%,34.00%,23.99%,28.59%,22.31%,2.14
MNPR,Monopar Therapeutics Inc,-7.83%,-23.00%,-28.35%,-15.14%,-61.46%,-0.07
MNRO,Monro Inc,-0.19%,12.00%,3.55%,10.68%,-5.20%,0.93
MRCC,Monroe Capital Corp,-2.09%,-2.00%,-11.69%,-17.15%,-13.96%,0.26
MNST,Monster Beverage Corp,-6.49%,-8.00%,-16.21%,-1.13%,-4.19%,0.83
,Montauk Renewables Inc,11.15%,54.00%,40.35%,39.12%,83.35%,1.08
GLUE,Monte Rosa Therapeutics Inc,-2.79%,-14.00%,-24.01%,2.92%,-72.87%,1.89
MTRY,Monterey Bio Acquisition Corp,0.00%,0.00%,-9.43%,-5.78%,0.00%,0
MCAC,Monterey Capital Acquisition Corp,0.36%,0.00%,-9.29%,0.00%,0.00%,
MEG^A17,Montrose Environmental Group Inc,8.43%,29.00%,17.43%,16.86%,-9.12%,1.37
MON,Monument Circle Acquisition Corp,0.10%,0.00%,-9.43%,-5.67%,6.90%,0.01
MCO,Moody's Corporation,4.07%,15.00%,5.63%,6.84%,-10.64%,0.99
MOG/A,Moog Inc,0.66%,8.00%,-1.42%,7.00%,18.75%,0.68
MLTX,MoonLake Immunotherapeutics,-0.55%,-3.00%,-9.87%,0.76%,-42.91%,
MGHL,Morgan Group Holding Co,53.13%,0.00%,76.98%,124.50%,-56.97%,
MS,Morgan Stanley,4.51%,14.00%,7.05%,5.31%,-8.20%,1.08
CAF,"Morgan Stanley China A Share Fund, Inc.",0.13%,-4.00%,-15.19%,-1.29%,-25.72%,0.39
MSD,Morgan Stanley Emerging Mkt Debt FundInc,1.30%,10.00%,-1.10%,-7.72%,-22.73%,0.32
IIF,Morgan Stanley India Investment Fund Inc,0.81%,9.00%,0.22%,5.23%,1.49%,0.59
MACA,Moringa Acquisition Corp,0.10%,1.00%,-9.33%,-6.15%,7.56%,0.01
MORN,"Morningstar, Inc.",4.52%,11.00%,2.30%,2.96%,3.77%,1.22
MRCR,Moro Corp,0.00%,1.00%,-9.05%,-6.53%,71.35%,
MORF,Morphic Holding Inc,16.68%,40.00%,21.45%,39.80%,-41.05%,1.55
MOR^L11,Morphosys Ag (ADR),-0.17%,14.00%,0.74%,17.39%,-54.77%,1.3
MBLU,Morris State Bancshares Inc,1.00%,0.00%,-4.59%,-2.14%,23.09%,
MOS,Mosaic Co,2.00%,20.00%,5.27%,-15.13%,69.08%,0.81
CPMV,Mosaic Immunoengineering Inc,0.00%,0.00%,-9.70%,30.65%,33.00%,
MTVC,Motive Capital Corp II,-0.20%,1.00%,-9.43%,-6.06%,0.00%,0.01
MPAA,"Motorcar Parts of America, Inc.",-2.68%,6.00%,-3.16%,1.89%,-29.24%,0.87
MSI,Motorola Solutions Inc,6.10%,18.00%,8.26%,17.09%,16.06%,0.98
MSGM,Motorsport Games Inc,16.10%,11.00%,4.04%,-3.74%,-94.37%,0.67
MOTS,Motus GI Holdings Inc,-18.54%,-28.00%,-35.34%,-26.91%,-76.08%,-6.3
MOTUY,Motus Holdings Ltd - ADR,0.00%,6.00%,0.00%,0.00%,0.00%,
RNER,Mount Rainier Acquisition Corp,0.00%,0.00%,-9.43%,-5.97%,0.00%,0.01
MCAA,Mountain & I Acquisition Co Corp,0.02%,0.00%,-9.26%,-5.98%,0.00%,0
MCBI,Mountain Commerce Bancorp Inc,-0.10%,2.00%,-8.24%,-6.69%,8.99%,
MCAE,Mountain Crest Acquisition Corp III,0.00%,0.00%,-9.43%,-5.56%,6.78%,0
MCAF,Mountain Crest Acquisition Corp IV,0.10%,1.00%,-9.15%,-6.44%,7.11%,0.03
MCAG,Mountain Crest Acquisition Corp V,0.20%,1.00%,-9.43%,-5.96%,0.00%,0.01
MOV,"Movado Group, Inc",1.29%,11.00%,2.38%,1.52%,19.66%,1.33
MOVE,Movano Inc,0.17%,12.00%,4.81%,39.49%,-28.15%,1.32
MITQ,Moving Image Technologies Inc,6.84%,5.00%,-4.34%,31.27%,-65.61%,0.82
MOXC,Moxian (BVI) Inc,9.17%,27.00%,14.85%,-1.26%,-82.66%,0.75
MP,Mp Materials Corp,11.07%,34.00%,18.63%,5.27%,7.53%,1.64
XDSL,"mPhase Technologies, Inc.",-0.67%,-36.00%,-49.89%,-62.86%,-94.60%,
MPLX,MPLX LP,-1.98%,6.00%,-3.14%,-1.62%,20.46%,0.61
COOP,Mr Cooper Group Inc,2.65%,23.00%,7.41%,3.73%,24.57%,0.97
MRC,MRC Global Inc,-11.57%,-1.00%,-11.82%,-3.25%,22.94%,0.65
EDD,Mrgn Stnly Emrgng Mrkts Dmtc Dbt Fnd Inc,2.23%,8.00%,-2.25%,-3.81%,-21.22%,0.4
MSYN,Ms Young Adventure Enterprise Inc,0.00%,250.00%,216.04%,69.63%,0.00%,
MSADY,Ms&Ad Insurance Group Holding Inc,-6.92%,-2.00%,-12.57%,-1.06%,1.70%,
MSA,MSA Safety Inc,0.13%,4.00%,-5.23%,-0.32%,-16.67%,0.77
MSM,MSC Industrial Direct Co Inc,2.40%,12.00%,3.30%,-0.41%,3.91%,0.58
MSCI,Msci Inc,3.18%,22.00%,11.78%,23.56%,-13.66%,1.32
MSDA,MSD Acquisition Corp,0.51%,1.00%,-8.86%,-5.29%,6.67%,0.02
MSPR,MSP Recovery Inc,-21.36%,-5.00%,-9.70%,-85.01%,-82.69%,0.4
MTNOY,MTN Group Ltd - ADR,0.00%,15.00%,0.00%,0.00%,0.00%,
MYTG,Mu Yan Technology Group Co Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,
MUDS,Mudrick Capital Acquisition Corp II,0.00%,0.00%,-9.43%,-5.69%,-2.43%,0
MLI,"Mueller Industries, Inc.",0.79%,27.00%,16.76%,20.93%,65.03%,0.92
MWA,"Mueller Water Products, Inc.",-9.97%,-1.00%,-9.00%,-4.42%,-19.14%,0.84
MURGY,Muenchener Rungs Ghft in Mnhn AG - ADR,0.00%,12.00%,0.00%,0.00%,0.00%,
MULN,Mullen Automotive Inc,-12.25%,-23.00%,-32.90%,-5.34%,-92.82%,0.42
MPLN,Multiplan Corp,-11.78%,-13.00%,-17.54%,-0.69%,-32.59%,1.03
MYBF,Muncy Bank Financial Inc,0.00%,0.00%,0.00%,0.00%,0.00%,
MURF,Murphy Canyon Acquisition Corp,0.00%,0.00%,-9.79%,-6.22%,0.00%,
MUR,Murphy Oil Corporation,5.52%,20.00%,10.25%,-4.38%,59.46%,0.96
MUSA,Murphy USA Inc,-1.16%,4.00%,-2.80%,11.50%,100.98%,0.73
GRIL,Muscle Maker Inc,23.37%,20.00%,11.81%,12.21%,-61.88%,1.2
,MusclePharm Corp,0.00%,7.00%,7.83%,-38.11%,-87.29%,
TMAC,Music Acquisition Corp,0.20%,1.00%,-9.15%,-5.77%,6.90%,0.01
MBIO,Mustang Bio Inc,6.02%,17.00%,4.89%,7.57%,-72.49%,1.86
MFDB,Mutual Federal Bancorp Inc (Illinois),0.00%,12.00%,-1.33%,-48.81%,-39.47%,
MVO,MV Oil Trust,2.27%,4.00%,-10.65%,5.43%,80.65%,0.41
MVBF,MVB Financial Corp,5.35%,12.00%,0.29%,-15.87%,-16.92%,0.58
MYE,"Myers Industries, Inc.",-6.20%,-5.00%,-12.73%,-14.88%,2.79%,0.69
MYMD,MyMD Pharmaceuticals Inc,13.55%,21.00%,3.99%,95.80%,-6.20%,1.45
MYMX,Mymetics Corp,21.67%,42.00%,5.47%,7.03%,-10.16%,
MYO,Myomo Inc,-16.99%,-2.00%,-8.63%,-33.96%,-80.26%,1.05
MYOV,Myovant Sciences Ltd,24.12%,37.00%,16.51%,96.07%,-10.44%,1.83
MYRG,MYR Group Inc,2.13%,12.00%,3.45%,8.65%,2.17%,0.62
MYGN,"Myriad Genetics, Inc.",5.94%,33.00%,18.94%,29.35%,-12.70%,1.36
MSTH,Mystic Holdings Inc,87.50%,0.00%,0.00%,0.00%,0.00%,
MYTE,MYT Netherlands Parent BV-ADR,5.92%,37.00%,23.52%,48.09%,-47.24%,1.34
NABL,N-Able Inc,1.38%,15.00%,5.06%,13.48%,-19.56%,0.95
NETC,Nabors Energy Transition Corp,0.00%,0.00%,-9.43%,-6.16%,0.00%,0
NBR,Nabors Industries Ltd.,-6.47%,20.00%,4.55%,-7.59%,61.12%,1.21
NBRV,Nabriva Therapeutics PLC - ADR,-3.55%,-3.00%,-18.30%,-11.21%,-82.59%,1.36
NC,"NACCO Industries, Inc.",8.46%,12.00%,-2.57%,-18.44%,68.61%,1.03
NLSC,Namliong SkyCosmos Inc,0.00%,30.00%,17.78%,-87.54%,152.91%,
NNDM,Nano Dimension Ltd - ADR,1.77%,2.00%,-8.37%,42.05%,-44.58%,1.38
NA,Nano Labs Ltd (ADR),-10.49%,-13.00%,-34.33%,0.00%,0.00%,
NMGX,Nano Magic Holdings Inc,0.00%,4.00%,-6.09%,21.51%,"27,298.79%",
NNOX,Nano-X Imaging Ltd,3.76%,14.00%,2.79%,42.94%,-43.13%,1.51
NNMX,Nanomix Corp,0.00%,-56.00%,-60.53%,-83.87%,-93.03%,
NANX,Nanophase Technologies Corporation,-0.98%,-6.00%,-15.83%,10.69%,27.81%,
NSTG,NanoString Technologies Inc,12.99%,22.00%,4.30%,7.50%,-69.85%,2.01
NAOV,NanoVibronix Inc,3.04%,-7.00%,-17.27%,13.42%,-68.87%,1.19
NNVC,NanoViricides Inc,25.20%,55.00%,38.37%,143.96%,-14.36%,1.37
NH,NantHealth Inc,5.99%,22.00%,8.23%,-19.62%,-73.35%,0.73
NSSC,Napco Security Technologies Inc,-3.66%,9.00%,-2.94%,49.55%,47.18%,1.03
NRGSP,Narragansett Electric Co,0.00%,0.00%,0.00%,0.00%,0.00%,
NASB,"NASB Financial, Inc.",0.00%,-2.00%,-8.06%,-4.83%,-5.96%,
NBIO,Nascent Biotech Inc,18.84%,58.00%,50.80%,199.39%,324.84%,
NDAQ,Nasdaq Inc,3.57%,22.00%,9.17%,21.77%,4.12%,0.8
NPSNY,Naspers Limited (ADR),3.03%,4.00%,-8.45%,49.09%,-19.80%,
NTRA,Natera Inc,12.86%,27.00%,23.67%,83.71%,-44.86%,1.72
NATH,"Nathan's Famous, Inc.",6.83%,6.00%,-3.94%,11.83%,-10.71%,0.56
NAUH,National American University Holdngs Inc,0.00%,-18.00%,-25.59%,-42.95%,-32.16%,
REPO,National Asset Recovery Corp,-14.44%,40.00%,-12.76%,107.40%,65.60%,
NABZY,National Australia Bank Ltd. (ADR),0.09%,13.00%,2.44%,-6.27%,14.50%,
NBHC,National Bank Holdings Corp,0.98%,8.00%,1.23%,4.21%,20.90%,0.68
NKSH,National Bankshares Inc.,0.29%,8.00%,-3.27%,-7.24%,-9.11%,0.14
FIZZ,National Beverage Corp.,0.18%,13.00%,2.55%,10.23%,35.71%,0.84
NCMI,"National CineMedia, Inc.",-8.57%,64.00%,46.50%,0.03%,-43.80%,1.55
NESR,National Energy Services Reunited Corp,-4.61%,9.00%,-5.12%,-6.25%,-38.21%,0.61
NFG,National Fuel Gas Co.,-0.61%,10.00%,-2.41%,-2.48%,40.59%,0.46
NGRC,National Graphite Corp,116.67%,117.00%,46.73%,51.88%,149.08%,
NGG,National Grid plc (ADR),0.59%,6.00%,-3.33%,-9.88%,12.32%,0.34
NHI,National Health Investors Inc,1.06%,6.00%,-2.50%,14.98%,9.16%,0.31
NHC,National HealthCare Corporation,-1.62%,-1.00%,-9.16%,-6.21%,-2.72%,0.36
NATI,National Instruments Corp,3.71%,28.00%,15.30%,18.78%,0.89%,1.17
NPK,National Presto Industries Inc.,2.33%,11.00%,2.15%,-1.76%,-14.47%,0.49
NRC^E13,National Research Corporation,-4.42%,-2.00%,-11.69%,2.16%,-30.49%,0.58
NNN,"National Retail Properties, Inc.",1.89%,8.00%,-0.31%,7.56%,7.19%,0.62
NSA,National Storage Affiliates Trust,4.20%,14.00%,2.87%,4.13%,9.07%,0.89
EYE,National Vision Holdings Inc,5.83%,11.00%,1.04%,32.68%,-36.82%,1.19
NWLI,National Western Life Group Inc,-0.46%,4.00%,-8.07%,-2.59%,-7.61%,0.63
NAII,"Natural Alternatives International, Inc.",5.32%,3.00%,-4.52%,8.32%,-38.99%,0.31
NGS,"Natural Gas Services Group, Inc.",1.01%,0.00%,-9.16%,-22.83%,3.62%,0.12
NGVC,Natural Grocers by Vitamin Cottage Inc,-10.28%,-6.00%,-14.67%,-22.36%,39.04%,0.72
NHTC,Natural Health Trends Corp.,3.39%,15.00%,1.72%,-24.10%,-17.21%,0.54
NOAC,Natural Order Acquisition Corp,0.15%,0.00%,-9.43%,-5.58%,7.66%,0.01
NRP,Natural Resource Partners LP,-3.47%,11.00%,-1.51%,-14.78%,109.70%,0.54
SHMP,NaturalShrimp Inc,3.86%,-3.00%,-13.89%,-48.37%,-64.34%,
,Natures Sunshine Products Inc,-1.79%,-1.00%,-10.30%,-22.90%,-35.01%,0.56
NTZ,"Natuzzi, S.p.A (ADR)",-16.95%,-17.00%,-13.92%,-29.97%,-54.55%,1
NWG,Natwest Group PLC - ADR,3.22%,22.00%,10.04%,19.82%,12.39%,0.98
NAUT,Nautilus Biotechnology Inc,0.35%,4.00%,-10.65%,-17.82%,-60.52%,1.25
NLS,"Nautilus, Inc.",12.82%,19.00%,-3.09%,-17.09%,-82.90%,1.16
NAVB,Navidea Biopharmaceuticals Inc,-14.15%,-25.00%,-32.57%,-37.89%,-67.31%,0.06
NAVI,Navient Corp,2.54%,13.00%,0.72%,2.05%,-19.69%,1.26
NVGS,Navigator Holdings Ltd,0.53%,9.00%,-0.16%,-13.65%,29.15%,0.53
NM,Navios Maritime Holdings Inc.,-1.72%,5.00%,-1.06%,-33.11%,-39.52%,0.92
NMM,Navios Maritime Partners L.P.,-0.87%,36.00%,29.45%,-1.76%,34.98%,0.96
NVTS,Navitas Semiconductor Corp,1.13%,41.00%,30.92%,-10.22%,-43.17%,2.35
NBTB,NBT Bancorp Inc.,0.52%,9.00%,-2.35%,6.30%,16.54%,0.48
NCNO,nCino Inc,9.84%,31.00%,14.69%,42.40%,-34.08%,2.17
NCR,NCR Corporation,1.17%,20.00%,8.81%,2.74%,-13.46%,1.46
NCSM,NCS Multistage Holdings Inc,-9.29%,7.00%,-5.06%,-34.40%,18.30%,0.83
NDTP,NDT Pharmaceuticals Inc,"199,900.00%","199,900.00%",-9.70%,38.47%,"2,107,499.57%",
RTL,Necessity Retail REIT Inc,5.31%,9.00%,-2.18%,5.88%,-2.03%,0.6
NDBKY,Nedbank Group Ltd. (ADR),2.45%,13.00%,0.00%,-2.38%,15.23%,
NKTR,Nektar Therapeutics,8.50%,42.00%,24.06%,26.27%,-65.90%,1.52
NNI,"Nelnet, Inc.",-4.40%,0.00%,-9.22%,3.88%,23.49%,0.57
NMRD,Nemaura Medical Inc,19.11%,34.00%,22.58%,-21.76%,-64.49%,0.6
NGMS,NeoGames SA,-3.81%,39.00%,20.01%,38.63%,-66.00%,1.74
NEOG,Neogen Corporation,-0.23%,2.00%,-8.59%,-17.53%,-45.19%,0.83
NEO,"NeoGenomics, Inc.",18.80%,43.00%,22.60%,50.46%,-70.41%,1.82
NLTX,Neoleukin Therapeutics Inc,-2.64%,-5.00%,-14.62%,-11.20%,-85.39%,1.2
NEON,"Neonode, Inc",2.59%,-1.00%,-10.64%,-4.32%,-12.03%,1.59
NEOV,NeoVolta Inc,0.00%,0.00%,9.45%,-36.63%,-36.61%,
NEPH,"Nephros, Inc.",-3.53%,18.00%,8.30%,-19.07%,-76.62%,0.91
NRDS,Nerdwallet Inc,12.16%,27.00%,6.06%,26.14%,0.00%,1.42
