Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
LPLA,LPL Financial Holdings Inc,36.17x,2.39445,2.17x,9.71x,23.43x,60.52x,29.74%,6.76%
LXU,"LSB Industries, Inc.",--,,1.52x,2.01x,53.67x,54.19x,-12.66%,15.28%
LYTS,"LSI Industries, Inc.",17.44x,0.69756,0.39x,1.17x,8.42x,37.78x,7.35%,3.95%
LTC,LTC Properties Inc,18.60x,,10.91x,2.18x,13.41x,47.55x,11.82%,6.21%
LUCD,Lucid Diagnostics Inc,--,,0.00x,2.51x,0.00x,3.67x,0.00%,0.00%
LCID,Lucid Group Inc,--,,167.80x,8.21x,0.00x,35.04x,0.00%,-42.23%
LHDX,Lucira Health Inc,--,,0.67x,0.59x,0.00x,12.42x,-17.65%,-13.89%
LKNCY,Luckin Coffee Inc - ADR,39.00x,,2.35x,6.20x,19.96x,12.76x,23.73%,8.10%
LDSN,Luduson G Inc,--,,9.81x,9.05x,0.00x,0.00x,-163.14%,-125.56%
LU,Lufax Holding Ltd - ADR,4.26x,,1.03x,0.67x,0.00x,33.68x,18.48%,5.18%
LVLU,Lulu's Fashion Lounge Holdings Inc,--,,0.00x,5.04x,0.00x,25.48x,0.00%,0.00%
LULU,Lululemon Athletica Inc,40.57x,1.9618,6.13x,15.93x,32.38x,0.00x,38.45%,22.61%
LUMB,Lumbee Guaranty Bank,25.64x,,2.76x,1.25x,18.03x,0.00x,5.03%,0.51%
LUMN,Lumen Technologies Inc,5.62x,0.75956,0.59x,0.92x,2.07x,69.71x,16.68%,3.42%
LFT,Lument Finance Trust Inc,10.79x,,3.09x,0.70x,0.00x,77.91x,5.00%,1.14%
LITE,Lumentum Holdings Inc,37.48x,2.67709,3.78x,3.33x,17.95x,49.23x,9.11%,4.71%
LAZR,Luminar Technologies Inc,--,,94.82x,39.84x,0.00x,87.33x,-97.17%,-44.06%
LMDX,LumiraDx Ltd,--,,0.00x,3.54x,0.00x,75.51x,0.00%,0.00%
LUMO,Lumos Pharma Inc,--,,203.95x,0.85x,0.00x,0.00x,-30.94%,-27.68%
LUNA,Luna Innovations Incorporated,--,,2.43x,2.35x,76.69x,19.51x,-1.63%,-1.00%
LUNMF,Lundin Mining Corporation (USA),5.76x,0.32849,1.26x,0.87x,3.03x,0.52x,15.30%,10.22%
LKCO,Luokung Technology Corp,--,,0.67x,0.64x,0.00x,0.00x,-69.41%,-31.17%
LBC,Luther Burbank Corp,7.25x,,3.65x,1.00x,7.01x,0.00x,14.29%,1.27%
LUVU,Luvu Brands Inc,7.26x,,0.32x,3.78x,5.76x,57.67x,71.49%,11.05%
LUXA,Lux Health Tech Acquisition Corp,25.06x,,0.00x,1.32x,25.06x,0.15x,5.40%,4.95%
LXFR,Luxfer Holdings PLC,17.27x,,1.15x,2.35x,10.85x,26.97x,13.61%,6.98%
LVMUY,LVMH Moet Hennessy Louis Vuitton SE(ADR),26.19x,,4.76x,6.82x,17.88x,41.10x,28.88%,11.26%
LXP,LXP Industrial Trust,10.81x,1.15604,9.34x,1.46x,6.42x,41.65x,15.46%,7.92%
LYEL,Lyell Immunopharma Inc,--,,45.16x,2.17x,0.00x,0.00x,-25.08%,-21.06%
LYFT,LYFT Inc,--,,1.85x,7.07x,0.00x,48.01x,-82.08%,-20.52%
LYB,LyondellBasell Industries NV,5.41x,1.83277,0.54x,2.38x,4.27x,48.14x,47.93%,14.70%
LYBC,Lyons Bancorp Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
LYRA,Lyra Therapeutics Inc,--,,36.32x,2.98x,0.00x,0.00x,-89.28%,-71.05%
LYT,Lytus Technologies Holdings Ptv Ltd,91.02x,,57.65x,9.04x,8.23x,14.67x,10.27%,1.40%
LZGI,Lzg International Inc,--,,304.33x,408.30x,1634.51x,79.49x,0.00%,-0.11%
MFBP,"M&F Bancorp, Inc.",--,,2.25x,1.07x,70.87x,0.00x,-0.28%,0.06%
MTB,M&T Bank Corporation,18.15x,3.28716,5.01x,1.37x,18.90x,0.00x,7.35%,0.86%
MDC,"M.D.C. Holdings, Inc.",3.97x,0.41371,0.45x,0.87x,3.69x,36.72x,24.71%,13.34%
MHO,M/I Homes Inc,3.14x,,0.33x,0.71x,2.88x,32.80x,26.37%,13.63%
WUHN,M2bio Sciences Inc,--,,0.06x,0.03x,0.00x,52.54x,-9.43%,-3.53%
MBAC,M3-Brigade Acquisition II Corp,21.90x,,0.00x,1.30x,21.90x,0.00x,6.10%,5.58%
MBSC,M3-Brigade Acquisition III Corp,--,,0.00x,1.30x,0.00x,0.00x,0.00%,0.00%
MCBC,Macatawa Bank Corporation,12.44x,,4.27x,1.33x,11.24x,0.00x,10.58%,0.91%
MACE,"Mace Security International, Inc.",--,,0.94x,1.28x,18.47x,5.97x,-0.63%,-0.48%
MAC,Macerich Co,64.29x,183.67703,2.75x,0.81x,6.86x,59.97x,1.22%,0.39%
MTSI,MACOM Technology Solutions Holdings Inc,19.63x,1.30893,6.44x,7.05x,15.11x,50.32x,41.82%,17.90%
DRAY,Macondray Capital Acquisition Corp I,26.88x,,0.00x,1.30x,0.00x,0.00x,9.03%,8.56%
MGU,Macquarie Global Infr Total Rtrn Fnd Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MQBKY,Macquarie Group Ltd (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MFD,Macquarie/First Trust Global Infrstrctre,6.74x,,10.59x,0.96x,0.00x,27.73x,14.78%,10.17%
MRPT,Macreport.Net Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MGNX,MacroGenics Inc,--,,4.57x,2.15x,0.00x,0.00x,-94.75%,-67.91%
M,Macy's Inc,3.48x,-0.18229,0.19x,1.63x,2.00x,47.74x,54.19%,9.20%
MCBK,Madison County Financial Inc,11.27x,,4.58x,0.00x,0.00x,0.00x,0.00%,0.00%
MCN,Madison Covered Call & Equity Strtgy Fd,6.89x,,78.38x,1.00x,0.00x,0.00x,14.82%,14.38%
MSGE,Madison Square Garden Entertainment Corp,--,,1.55x,1.01x,0.00x,42.21x,-7.53%,-3.63%
MSGS,Madison Square Garden Sports Corp,51.81x,3.06575,4.80x,0.00x,50.06x,229.70x,0.00%,5.35%
MDEX,Madison Technologies Inc,--,,210.33x,0.48x,0.00x,74.42x,-219.54%,-48.95%
MDGL,Madrigal Pharmaceuticals Inc,--,,0.00x,15.10x,0.00x,36.81x,-144.50%,-94.02%
MAG,MAG Silver Corp (USA),108.87x,,0.00x,3.66x,108.86x,0.10x,3.63%,3.56%
MAGE,Magellan Gold Corp,--,,0.00x,0.00x,0.00x,159.38x,0.00%,-115.06%
MMP,"Magellan Midstream Partners, L.P.",13.48x,,3.58x,5.92x,10.06x,73.98x,39.48%,9.93%
MGTA,Magenta Therapeutics Inc,--,,0.00x,0.73x,0.00x,0.00x,-45.45%,-38.91%
MEGL,Magic Empire Global Ltd,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MGIC,Magic Software Enterprises Ltd,30.86x,2.57186,1.85x,3.70x,18.06x,16.58x,12.17%,7.48%
MGA,Magna International Inc. (USA),28.13x,12.84582,0.51x,1.68x,8.23x,23.65x,5.93%,2.57%
MX,Magnachip Semiconductor Corp,8.82x,,1.24x,1.23x,6.41x,0.03x,16.72%,12.94%
MGNI,Magnite Inc,--,,2.29x,1.44x,8.09x,46.36x,-5.36%,-1.69%
MGY,Magnolia Oil & Gas Corp,6.06x,,3.33x,4.53x,4.60x,23.48x,79.71%,48.01%
OPA,Magnum Opus Acquisition Ltd,61.77x,,0.00x,1.42x,0.00x,0.00x,2.31%,1.97%
MGYR,"Magyar Bancorp, Inc.",11.52x,,2.96x,0.00x,15.24x,0.00x,0.00%,0.00%
MYTAY,Magyar Telekom Tavkozlesi Nyrt (ADR),4.90x,,0.44x,0.49x,1.50x,36.09x,10.33%,4.98%
MTENY,Mahanagar Telephone Nigam Ltd (ADR),2.37x,,0.27x,0.00x,1.23x,0.00x,0.00%,0.00%
MAIA,Maia Biotechnology Inc,--,,0.00x,5.24x,0.00x,0.00x,0.00%,0.00%
MHLD,"Maiden Holdings, Ltd.",3.87x,,2.34x,0.86x,13.28x,40.99x,22.96%,0.38%
MAIN,Main Street Capital Corporation,12.23x,,10.25x,1.77x,0.00x,49.89x,14.89%,7.47%
MEGI,MainStay CBRE Global Infrsctre Mnds Fnd,--,,0.00x,0.87x,0.00x,24.34x,0.00%,0.00%
MMD,Mainstay Macky Dfndtrm Mncpl Opprtnts Fd,14.46x,,14.32x,0.88x,0.00x,35.61x,6.16%,3.86%
MNSB,MainStreet Bancshares Inc,9.77x,,2.84x,1.13x,12.19x,0.00x,11.99%,1.20%
MYNZ,Mainz Biomed NV,--,,233.04x,20.39x,0.00x,9.09x,0.00%,0.00%
MJWL,Majic Wheels Corp.,--,,27.25x,0.00x,0.00x,0.00x,0.00%,-435.95%
HWIN,Makamer Holdings Inc,--,,13053.46x,73.86x,0.00x,6.15x,-41.53%,-38.68%
MMYT,MakeMyTrip Limited,--,,8.21x,3.91x,0.00x,20.11x,-3.56%,-2.40%
MKTAY,Makita Corporation (ADR),15.95x,,1.20x,1.09x,11.83x,16.14x,7.38%,5.56%
MLAC,Malacca Straits Acquisition Co Ltd,21.70x,,0.00x,2.15x,0.00x,2.87x,6.49%,5.75%
MLCT,Malachite Innovations Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-454.57%
MLYBY,Malayan Banking Berhad (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MBUU,Malibu Boats Inc,9.57x,,1.17x,2.91x,7.62x,20.41x,36.05%,19.14%
MNKPF,Mallinckrodt PLC,--,,0.10x,7.39x,0.00x,87.69x,-130.27%,-7.71%
MLVF,Malvern Bancorp Inc,--,,3.95x,0.83x,0.00x,0.00x,-1.24%,-0.16%
MMMB,Mamamancini's Holdings Inc,--,,0.85x,6.06x,177.86x,62.05x,-9.08%,-3.25%
TUSK,Mammoth Energy Services Inc,--,,0.67x,0.40x,41.29x,16.78x,-13.92%,-9.16%
MAAQ,Mana Capital Acquisition Corp,--,,0.00x,176.60x,0.00x,0.00x,0.00%,0.00%
MANU,Manchester United PLC,--,,3.04x,8.04x,24.44x,73.81x,-29.77%,-6.67%
MNDT,Mandiant Inc,--,,10.28x,4.01x,0.00x,26.14x,-43.05%,-13.23%
MANH,"Manhattan Associates, Inc.",79.92x,,13.07x,44.56x,73.92x,0.00x,56.34%,23.99%
LOAN,Manhattan Bridge Capital Inc.,12.82x,,8.53x,1.50x,12.86x,36.59x,13.20%,8.01%
MHTX,Manhattan Scientifics Inc.,--,,117.45x,15.14x,0.00x,8.54x,-170.13%,-88.67%
MNTX,Manitex International Inc,--,,0.54x,1.93x,153.20x,43.07x,-5.51%,-1.99%
MTW,Manitowoc Company Inc,27.70x,0.63663,0.21x,0.60x,5.26x,37.58x,2.20%,0.84%
MTEX,"Mannatech, Inc.",5.47x,,0.26x,1.69x,4.29x,3.01x,31.08%,12.36%
MN,Manning and Napier Inc,13.00x,,1.66x,2.64x,9.06x,0.08x,23.93%,14.80%
MNKD,MannKind Corporation,--,,16.51x,0.00x,0.00x,290.91x,0.00%,-32.50%
MAN,ManpowerGroup Inc.,10.33x,6.88475,0.20x,1.71x,8.21x,36.79x,17.53%,4.43%
MANT,Mantech International Corp,32.15x,2.93608,1.50x,2.30x,19.31x,14.96x,7.33%,4.94%
MHPC,Manufactured Housing Properties Inc,--,,3.83x,0.00x,0.00x,93.71x,0.00%,-3.28%
MFC,Manulife Financial Corporation (USA),5.19x,0.47594,0.80x,0.94x,4.98x,18.25x,19.27%,1.04%
MAQC,Maquia Capital Acquisition Corp,25.33x,,0.00x,1.36x,0.00x,0.00x,0.00%,0.00%
MARA,Marathon Digital Holdings Inc,--,,9.22x,2.82x,0.00x,53.72x,-34.72%,-20.56%
MRO,Marathon Oil Corporation,5.30x,0.1697,2.07x,1.33x,3.03x,25.79x,28.00%,17.20%
MPC,Marathon Petroleum Corp,6.43x,0.3967,0.30x,1.86x,3.71x,44.30x,29.64%,9.97%
MRVI,Maravai Lifesciences Holdings Inc,13.83x,,7.32x,14.74x,11.44x,40.61x,76.19%,29.82%
GATE,Marblegate Acquisition Corp,--,,0.00x,1.43x,0.00x,0.00x,-0.29%,-0.27%
MCHX,"Marchex, Inc.",--,,1.60x,1.69x,18.21x,0.00x,-1.30%,-0.94%
MMI^E12,Marcus & Millichap Inc,9.31x,,1.02x,2.20x,8.58x,0.00x,26.01%,19.15%
MCS,Marcus Corp,2320.31x,154.68753,0.87x,1.24x,7.81x,38.22x,0.51%,0.19%
MRGO,"Margo Caribe, Inc.",8.18x,,0.70x,0.00x,0.00x,0.00x,0.00%,0.00%
MRMD,Marimed Inc,36.61x,,1.64x,4.64x,19.82x,18.65x,23.79%,6.66%
MRIN,Marin Software Inc,--,,1.35x,0.72x,0.00x,0.00x,-56.51%,-38.13%
MARPS,Marine Petroleum Trust,16.78x,,13.38x,13.28x,0.00x,0.00x,90.03%,90.03%
MPX,Marine Products Corp.,12.00x,,1.19x,3.59x,11.41x,0.00x,31.64%,22.50%
HZO,MarineMax Inc,4.64x,,0.38x,1.15x,4.07x,17.37x,29.26%,16.91%
MRNS,Marinus Pharmaceuticals Inc,--,,7.94x,6.10x,0.00x,63.38x,-123.83%,-66.26%
MTEK,Maris Tech Ltd,--,,0.01x,0.00x,0.00x,1585.18x,0.00%,0.00%
MRZM,Marizyme Inc,--,,628.91x,1.89x,0.00x,1.32x,-33.86%,-27.22%
MKL,Markel Corporation,704.86x,,1.50x,1.34x,60.49x,25.34x,0.27%,0.28%
MRKR,Marker Therapeutics Inc,--,,18.49x,1.14x,0.00x,0.00x,-79.50%,-60.02%
MKTX,MarketAxess Holdings Inc.,42.24x,2.86324,14.60x,10.14x,33.75x,0.00x,23.91%,15.57%
MAAL,MARKETING ALLIANCE INC,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MKTW,MarketWise Inc,--,,2.02x,0.00x,0.00x,0.00x,0.00%,-59.57%
MKFG,Markforged Holding Corp,11.69x,,4.90x,2.17x,17.28x,0.00x,6.83%,5.49%
FINM,Marlin Technology Corp,63.49x,,0.00x,1.30x,0.00x,0.00x,2.08%,1.95%
MRAI,Marpai Inc,--,,0.00x,0.84x,0.00x,0.00x,0.00%,0.00%
MQ,Marqeta Inc,--,,10.46x,3.89x,0.00x,0.00x,-31.83%,-18.61%
MAR,Marriott International Inc,30.50x,5.64792,2.92x,29.61x,25.64x,83.22x,135.75%,7.10%
VAC,Marriott Vacations Worldwide Corp,25.47x,1.09794,1.34x,2.13x,14.74x,62.59x,9.25%,2.66%
MMC,"Marsh & McLennan Companies, Inc.",25.60x,2.82472,4.10x,7.92x,20.56x,51.94x,32.48%,10.28%
MRTN,"Marten Transport, Ltd",17.61x,,1.59x,2.74x,8.63x,0.00x,16.01%,11.65%
MLM,"Martin Marietta Materials, Inc.",28.99x,1.73061,3.85x,3.37x,17.66x,42.69x,12.23%,6.12%
MMLP,Martin Midstream Partners L.P.,7.40x,,0.15x,0.00x,2.03x,106.73x,0.00%,3.62%
MRVL,Marvell Technology Inc,--,,9.21x,3.02x,51.10x,22.69x,-3.29%,-2.30%
MGLD,Marygold Companies Inc,79.27x,,1.55x,2.06x,48.19x,3.85x,2.68%,2.21%
MAS,Masco Corp,15.03x,1.26334,1.38x,0.00x,11.32x,118.57x,0.00%,16.99%
MASI,Masimo Corporation,47.43x,,5.82x,7.28x,30.31x,43.41x,14.71%,8.22%
MIT,Mason Industrial Technology Inc,83.15x,,0.00x,1.29x,0.00x,0.00x,1.56%,1.47%
DOOR,Masonite International Corp,15.10x,,0.72x,3.08x,8.66x,56.65x,19.93%,6.54%
MMMW,Mass Megawatts Windpower Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,"-1,381.64%"
MTZ,"MasTec, Inc.",35.26x,2.85238,0.72x,2.45x,9.81x,47.74x,7.28%,2.56%
MHH,Mastech Digital Inc,15.45x,,0.75x,2.20x,14.21x,11.48x,16.34%,10.58%
MA,Mastercard Inc,35.81x,2.12215,16.37x,55.43x,32.66x,69.81x,153.79%,27.27%
MCFT,Mastercraft Boat Holdings Inc,7.46x,,0.70x,3.37x,5.92x,32.39x,55.94%,23.06%
MMND,Mastermind Inc,8.42x,,1.89x,3.31x,8.21x,0.00x,49.14%,34.04%
MTDR,Matador Resources Co,6.59x,-1.31787,2.65x,2.67x,4.50x,32.50x,51.95%,25.22%
MTCH,Match Group Inc,193.60x,,5.84x,0.00x,90.64x,113.15x,0.00%,2.56%
MTLS,Materialise NV (ADR),55.73x,,3.65x,3.43x,22.46x,27.81x,6.50%,3.52%
MTRN,Materion Corp,25.33x,,1.12x,2.52x,14.93x,40.58x,10.50%,5.28%
MTNB,Matinas BioPharma Holdings Inc,--,,0.00x,4.02x,0.00x,0.04x,-44.30%,-37.94%
MATV,Mativ Holdings Inc,10.77x,,0.81x,1.05x,7.77x,64.54x,10.01%,3.05%
MTRX,Matrix Service Co,--,,0.22x,0.69x,0.00x,0.00x,-35.56%,-20.37%
MATX,Matson Inc,2.51x,,0.69x,1.55x,2.15x,21.46x,84.54%,38.85%
MAT,Mattel Inc,7.35x,,1.38x,4.68x,6.32x,59.85x,98.31%,19.13%
MTTR,Matterport Inc,--,,12.98x,2.21x,0.00x,0.00x,-97.95%,-66.12%
MATW,Matthews International Corp,--,,0.47x,1.38x,8.77x,56.78x,-3.70%,-1.13%
MLP,Maui Land & Pineapple Company Inc,--,,14.63x,7.79x,0.00x,0.00x,-13.93%,-7.75%
MMX,Maverix Metals Inc,47.85x,,10.27x,1.62x,19.92x,3.24x,3.52%,3.39%
MIGI,Mawson Infrastructure Group Inc,14.66x,,1.12x,0.60x,7.80x,29.32x,-26.36%,-18.54%
MAXD,Max Sound Corp,--,,99.40x,0.00x,0.00x,0.00x,0.00%,"-1,339.56%"
MAXR,Maxar Technologies Inc,16.83x,,1.08x,1.30x,4.75x,58.61x,9.04%,2.77%
MXCT,MaxCyte Inc,--,,14.82x,2.20x,0.00x,0.00x,0.00%,0.00%
MAXN,Maxeon Solar Technologies Ltd,--,,1.08x,3.65x,0.00x,48.23x,-85.65%,-25.53%
MMS,"MAXIMUS, Inc.",21.39x,,0.85x,2.57x,12.21x,49.36x,12.56%,4.43%
MXL,"MaxLinear, Inc.",31.39x,2.15484,3.07x,5.51x,16.18x,30.20x,20.53%,9.33%
JMAC,Maxpro Capital Acquisition Corp,--,,0.00x,1.08x,0.00x,0.00x,0.00%,0.00%
MRTI,"Maxus Realty Trust, Inc.",243.90x,,7.50x,33.10x,25.07x,89.78x,23.69%,1.04%
MEC,Mayville Engineering Company Inc,--,,0.30x,0.72x,5.49x,26.82x,-1.68%,-0.87%
MZDAY,Mazda Motor Corp (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MBI,MBIA Inc.,--,,4.34x,0.00x,0.00x,128.15x,0.00%,-8.31%
MKC,"McCormick & Company, Incorporated",35.50x,5.82029,3.80x,5.24x,28.67x,53.73x,15.31%,5.03%
MCD,McDonald's Corp,32.20x,5.17006,8.15x,0.00x,24.11x,122.58x,0.00%,12.03%
MUX,McEwen Mining Inc,--,,1.23x,0.46x,0.00x,14.35x,-16.73%,-12.31%
MGRC,McGrath RentCorp,21.79x,2.1785,3.12x,2.78x,9.03x,36.99x,13.33%,5.96%
MCK,McKesson Corporation,38.25x,5.2996,0.19x,0.00x,22.94x,134.21x,0.00%,2.50%
,McLaren Technology Acquisition Corp,--,,0.00x,1.27x,0.00x,0.01x,0.00%,0.00%
MCRAA,McRae Industries Inc,10.98x,,0.79x,1.15x,0.00x,0.00x,10.92%,10.16%
MDH,MDH Acquisition Corp,61.05x,,0.00x,1.31x,0.00x,0.00x,2.17%,2.02%
MDJH,MDJM Ltd,--,,5.44x,3.49x,0.00x,0.00x,-27.63%,-23.56%
MDMP,Mdm Permian Inc,--,,59.61x,0.00x,0.00x,1573.25x,0.00%,-521.68%
MDU,Mdu Resources Group Inc,19.07x,,1.01x,0.00x,9.70x,0.00x,0.00%,0.00%
MDWK,"MDWerks, Inc.",--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MEPW,ME Renewable Power Corp,4833.33x,,0.00x,0.00x,4914.93x,0.00x,0.00%,0.00%
MCHB,Mechanics Bank,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MDRR,Medalist Diversified REIT Inc,--,,1.25x,0.67x,14.91x,74.39x,-18.07%,-3.52%
MFIN,Medallion Financial Corp,3.35x,,1.09x,0.65x,2.80x,0.00x,21.50%,3.28%
MDVL,Medavail Holdings Inc,--,,2.97x,5.70x,0.00x,59.75x,-161.46%,-108.64%
MDTC,Media Technologies Inc,--,,28.46x,0.00x,0.00x,0.00x,0.00%,"-1,473.42%"
MAX,MediaAlpha Inc,--,,0.89x,144.88x,0.00x,140.20x,0.00%,-11.93%
MDIA,Mediaco Holding Inc,--,,0.54x,0.00x,0.00x,93.94x,0.00%,-4.92%
MJNA,Medical Marijuana Inc,--,,0.00x,0.87x,0.00x,8.14x,0.00%,0.00%
MPW,Medical Properties Trust Inc,8.11x,1.48787,6.03x,1.10x,6.31x,53.35x,14.02%,6.18%
SHWZ,Medicine Man Technologies Inc,--,,0.43x,0.46x,0.00x,50.47x,-15.73%,-3.45%
MNOV,"MediciNova, Inc.",--,,3073.57x,1.43x,0.00x,0.00x,-15.44%,-14.79%
MCUJF,Medicure Inc,12.11x,,0.43x,0.52x,2.39x,5.57x,4.39%,2.68%
MSAC,Medicus Sciences Acquisition Corp,42.30x,,0.00x,1.29x,0.00x,0.00x,3.13%,2.88%
MED,Medifast Inc,9.54x,,0.85x,10.93x,8.62x,17.26x,96.80%,44.52%
MDGS,Medigus Ltd - ADR,2.10x,,5.51x,0.30x,12.56x,3.09x,18.83%,8.79%
MRM^B10,Medirom Healthcare Technologies Inc-ADR,--,,0.98x,19.47x,0.00x,78.56x,-340.33%,-13.29%
MDWD,Mediwound Ltd,--,,2.82x,32.37x,0.00x,38.91x,-422.69%,-50.98%
MDXL,Medixall Group Inc,--,,31.87x,0.00x,0.00x,0.00x,0.00%,-408.21%
MEDP,Medpace Holdings Inc,30.67x,2.67829,4.26x,19.33x,23.74x,46.85x,36.83%,15.03%
MTAC,Medtech Acquisition Corp,38.79x,,0.00x,1.31x,60.90x,0.00x,3.44%,3.18%
MDT,Medtronic PLC,25.21x,3.30594,3.95x,2.38x,16.11x,31.38x,9.69%,5.50%
MTMT,Mega Matrix Corp,1.63x,,5.62x,1.96x,1.13x,0.00x,0.00%,50.10%
MEIP,MEI Pharma Inc,--,,1.42x,1.02x,0.00x,0.00x,-61.80%,-18.31%
MHUA,Meihua International Medical Tech Co Ltd,3.75x,,1.11x,0.84x,5.03x,3.66x,0.00%,0.00%
MGTX,MeiraGTx Holdings PLC,--,,11.35x,2.73x,0.00x,0.00x,-45.53%,-27.73%
WNW,Meiwu Technology Co Ltd,--,,1.88x,1.31x,0.00x,2.55x,0.00%,0.00%
MLCO,Melco Resorts & Entertainment Ltd(ADR),--,,1.26x,100.68x,0.00x,91.58x,-171.58%,-10.03%
MEKA,MELI Kaszek Pioneer Corp,--,,0.00x,1.71x,0.00x,0.00x,-26.87%,-22.88%
MCG,Membership Collective Group Inc,--,,2.22x,11.69x,0.00x,86.15x,0.00%,-10.19%
MELI,Mercado Libre Inc,225.08x,,6.06x,33.91x,97.39x,73.75x,28.55%,2.80%
MBWM,Mercantile Bank Corp.,11.19x,,3.22x,1.31x,8.82x,0.00x,11.33%,1.02%
MPRA,Mercato Partners Acquisition Corp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
MERC,Mercer International Inc.,3.47x,,0.49x,1.40x,2.42x,62.49x,44.82%,13.13%
MNMB,"Merchants & Marine Bancorp, Inc.",28.54x,,1.81x,0.66x,0.00x,0.00x,2.25%,0.24%
MBIN,Merchants Bancorp,5.45x,,2.77x,1.39x,6.09x,0.00x,24.93%,2.08%
MRK,"Merck & Co., Inc.",13.60x,1.36656,3.95x,5.22x,11.13x,42.23x,43.48%,16.84%
MKKGY,Merck KGaA (ADR),24.65x,,1.15x,3.14x,4.75x,31.20x,14.76%,7.24%
MEAC,Mercury Ecommerce Acquisition Corp,20.54x,,0.00x,1.31x,134.10x,0.00x,10.28%,9.59%
MCY,Mercury General Corporation,--,,0.50x,1.08x,0.00x,18.33x,-19.57%,-5.70%
MRCY,Mercury Systems Inc,255.88x,11.90149,2.96x,1.90x,27.92x,22.70x,0.75%,0.53%
MREO,Mereo BioPharma Group plc - ADR,--,,0.00x,0.00x,0.00x,604.92x,"-1,294.27%",-219.05%
VIVO,"Meridian Bioscience, Inc.",33.39x,,4.17x,3.92x,23.90x,6.40x,12.62%,9.51%
MRBK,Meridian Corp,6.53x,,1.41x,1.16x,0.00x,0.00x,18.53%,1.61%
MLNK,Meridianlink Inc,--,,5.37x,2.57x,49.94x,42.98x,-7.95%,-0.95%
EWLU,Merion Inc,--,,4.18x,0.00x,0.00x,0.00x,0.00%,-127.32%
MMSI,"Merit Medical Systems, Inc.",61.27x,5.48645,3.16x,3.29x,25.03x,18.65x,5.66%,3.57%
MTH,Meritage Homes Corp,3.63x,0.518,0.58x,0.93x,3.43x,25.35x,29.98%,18.81%
MHGU,Meritage Hospitality Group Inc.,36.24x,,1.06x,10.92x,25.44x,74.99x,35.09%,5.50%
MACK,Merrimack Pharmaceuticals Inc,--,,0.00x,4.13x,0.00x,0.00x,-12.68%,-12.17%
MRSN,Mersana Therapeutics Inc,--,,119.81x,5.67x,0.00x,15.60x,-117.70%,-76.65%
MRUS,Merus NV,--,,22.91x,3.70x,0.00x,0.00x,-19.75%,-13.07%
MESA,Mesa Air Group Inc,--,,0.18x,0.23x,12.17x,60.06x,-16.24%,-5.24%
MLAB,"Mesa Laboratories, Inc.",--,,5.22x,2.73x,38.54x,36.28x,-0.40%,-0.24%
MTR,Mesa Royalty Trust,16.78x,,14.23x,8.91x,0.00x,0.00x,52.83%,47.29%
MSB,Mesabi Trust,4.81x,,4.66x,11.55x,0.00x,0.00x,334.49%,204.61%
MESO,Mesoblast limited (ADR),--,,40.38x,0.85x,0.00x,16.83x,-16.45%,-12.70%
MSBN,Messaben Corp,--,,5.77x,0.28x,0.00x,18.00x,-31.19%,-26.20%
MCCK,"Mestek, Inc.",15.33x,,0.72x,1.80x,0.00x,7.88x,11.38%,7.41%
MMAT,Meta Materials Inc,--,,53.17x,0.85x,0.00x,1.10x,-34.62%,-27.76%
META,Meta Platforms Inc,14.78x,1.29654,4.01x,3.82x,11.47x,0.48x,25.48%,19.76%
MTCR,Metacrine Inc,--,,0.00x,0.45x,0.00x,22.42x,-97.99%,-75.67%
MSSA,Metal Sky Star Acquisition Corp,--,,0.00x,0.00x,0.00x,101.15x,0.00%,0.00%
MTLK,Metalink Ltd,67.91x,,2.63x,0.65x,0.00x,0.00x,0.96%,0.90%
MTAL,Metals Acquisition Corp,34.94x,,0.00x,1.35x,0.00x,0.00x,4.10%,3.73%
MVCO,Metavesco Inc,--,,88.87x,3.16x,0.00x,8.22x,-20.68%,-15.50%
METX,Meten Holding Group Ltd,--,,0.09x,3.03x,0.00x,90.39x,0.00%,-38.94%
MEOH,Methanex Corp (USA),5.37x,,0.56x,1.27x,2.75x,55.72x,29.51%,9.55%
MEI,Methode Electronics Inc.,15.43x,,1.32x,1.68x,9.89x,18.72x,11.16%,7.16%
