Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
AHI,Advanced Human Imaging Ltd - ADR,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AVIFY,Advanced Info Service PCL (ADR),25.05x,,3.22x,7.87x,7.32x,62.14x,32.15%,7.19%
AMPI,Advanced Merger Partners Inc,141.99x,,0.00x,1.30x,0.00x,0.00x,0.92%,0.86%
AMD,"Advanced Micro Devices, Inc.",41.65x,1.14125,7.41x,2.89x,31.20x,4.79x,10.06%,7.98%
AVOI,Advanced Voice Recognition Systems Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,"-1,155.90%"
ASIX,AdvanSix Inc,5.84x,,0.57x,1.52x,4.17x,16.92x,31.52%,14.35%
ADV,Advantage Solutions Inc,17.14x,,0.33x,0.49x,3.98x,43.95x,2.98%,1.31%
ATEYY,Advantest Corp (ADR),15.28x,,3.40x,4.81x,12.82x,12.46x,34.09%,21.78%
ADXS,"Advaxis, Inc.",--,,13.44x,0.19x,0.00x,0.00x,-30.49%,-24.83%
AVK,Advent Convertible and Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ADN,Advent Technologies Holdings Inc,--,,22.50x,1.19x,0.00x,0.00x,-23.20%,-19.28%
ADVM,Adverum Biotechnologies Inc,--,,0.00x,0.54x,0.00x,0.00x,-44.43%,-35.68%
IMPX,AEA-Bridges Impact Corp,--,,0.00x,1.40x,0.00x,0.00x,-1.53%,-1.37%
ACM,Aecom,29.21x,2.72391,0.81x,0.00x,18.50x,0.00x,0.00%,0.00%
AGLE,Aeglea Bio Therapeutics Inc,--,,4.02x,0.34x,0.00x,0.00x,-86.14%,-68.99%
AEFC,Aegon Funding Company LLC,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AEG,AEGON N.V. (ADR),5.71x,0.14867,0.26x,0.39x,3.16x,33.19x,6.73%,0.38%
AEHR,Aehr Test Systems,54.07x,2.70327,9.54x,9.51x,124.97x,0.00x,30.27%,22.50%
AMTX,Aemetis Inc,--,,1.56x,0.00x,0.00x,185.73x,0.00%,-22.99%
AENZ,Aenza SAA (ADR),--,,0.19x,0.64x,5.24x,47.89x,-6.47%,-0.75%
ARBG,Aequi Acquisition Corp,34.57x,,0.00x,1.30x,0.00x,0.00x,3.87%,3.62%
