Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
DOCU,Docusign Inc,-74.00%,5.18%,5.42%,76.04%,34.96%,8.59%
HTH,Hilltop Holdings Inc.,-12.00%,3.76%,5.04%,24.43%,15.96%,8.58%
SUNL,Sunlight Financial Holdings Inc,-43.00%,7.88%,15.33%,50.27%,87.14%,8.58%
AVDL,Avadel Pharmaceuticals PLC (ADR),-12.00%,14.12%,32.25%,38.39%,580.00%,8.57%
QURE,Uniqure NV,-33.00%,-7.01%,-1.57%,49.66%,55.99%,8.57%
WU,Western Union Co,-27.00%,0.66%,-0.62%,27.63%,7.84%,8.57%
KTB,Kontoor Brands Inc,-33.00%,5.14%,7.84%,36.63%,25.27%,8.56%
,Stratex Oil & Gas Holdings Inc,-42.00%,23.73%,25.93%,82.29%,588.89%,8.56%
HYFM,Hydrofarm Holdings Group Inc,-93.00%,13.16%,-16.54%,94.02%,48.46%,8.55%
RSI,Rush Street Interactive Inc,-58.00%,7.37%,9.98%,73.43%,42.86%,8.55%
ATEC,Alphatec Holdings Inc,-40.00%,15.03%,18.88%,48.35%,38.05%,8.54%
GRBK,Green Brick Partners Inc,0.00%,8.81%,19.55%,10.82%,71.19%,8.54%
UTZ,Utz Brands Inc,-3.00%,0.31%,9.78%,16.05%,51.33%,8.54%
FND^F16,Floor & Decor Holdings Inc,-22.00%,8.53%,16.31%,37.79%,51.49%,8.53%
HA,"Hawaiian Holdings, Inc.",-20.00%,5.17%,7.11%,33.42%,26.65%,8.52%
LPSN,"LivePerson, Inc.",-78.00%,-1.99%,-8.79%,80.19%,16.30%,8.52%
HTZ,Hertz Global Holdings Inc,0.00%,2.82%,10.00%,52.39%,48.47%,8.51%
IIVI,"II-VI, Inc.",-18.00%,1.16%,-1.45%,30.51%,13.91%,8.50%
POOL,Pool Corporation,-21.00%,4.01%,3.49%,34.31%,18.00%,8.50%
CEQP,Crestwood Equity Partners LP,-5.00%,0.82%,-0.53%,21.88%,12.56%,8.49%
SDGR,Schrodinger Inc,-44.00%,-1.76%,3.69%,50.26%,59.68%,8.48%
SAIA,Saia Inc,0.00%,3.73%,11.81%,31.68%,48.62%,8.46%
LE,"Lands' End, Inc.",-62.00%,9.65%,18.30%,65.45%,51.00%,8.45%
BECN,Beacon Roofing Supply Inc,14.00%,1.74%,4.14%,9.48%,29.32%,8.44%
CPE,Callon Petroleum Company,26.00%,2.50%,-5.86%,42.81%,50.16%,8.43%
CLF,Cleveland-Cliffs Inc,-24.00%,6.82%,6.46%,41.98%,37.97%,8.43%
PETQ,PetIQ Inc,-47.00%,-9.29%,-13.88%,51.26%,8.20%,8.43%
BIGC,Bigcommerce Holdings Inc,-67.00%,10.10%,13.68%,67.77%,62.63%,8.42%
TDUP,ThredUp Inc,-86.00%,12.81%,1.31%,87.10%,63.68%,8.41%
INMB,INmune Bio Inc,-45.00%,-1.41%,4.24%,69.28%,101.56%,8.40%
WIX,Wix.Com Ltd,-63.00%,9.82%,12.72%,68.21%,44.86%,8.40%
EXPR,"Express, Inc.",-66.00%,10.53%,1.82%,73.80%,23.93%,8.35%
PI,IMPINJ Inc,87.00%,9.24%,26.55%,3.97%,134.27%,8.34%
VLDR,Velodyne Lidar Inc,-79.00%,29.07%,31.17%,80.03%,92.73%,8.34%
CDXS,"Codexis, Inc.",-64.00%,6.81%,-8.04%,79.29%,41.46%,8.33%
PAVM,PAVmed Inc,-75.00%,24.58%,41.96%,81.24%,121.95%,8.33%
BHVN,Biohaven Pharmaceutical Holding Co Ltd,26.00%,0.59%,3.08%,2.90%,86.19%,8.32%
NWBO,"Northwest Biotherapeutics, Inc",-46.00%,-4.70%,-11.15%,67.80%,70.90%,8.32%
EZPW,EZCORP Inc,53.00%,7.38%,16.15%,0.63%,72.60%,8.31%
AMPL,Amplitude Inc,0.00%,7.19%,9.91%,78.76%,39.27%,8.30%
LYEL,Lyell Immunopharma Inc,-47.00%,6.49%,16.70%,61.54%,113.73%,8.28%
ACRX,AcelRx Pharmaceuticals Inc,-80.00%,9.47%,10.80%,80.74%,46.88%,8.27%
CAR,Avis Budget Group Inc,109.00%,5.02%,6.54%,65.84%,122.15%,8.27%
NVST,Envista Holdings Corp,2.00%,2.40%,3.04%,21.56%,15.81%,8.25%
MED,Medifast Inc,-46.00%,-7.70%,-21.50%,47.03%,2.65%,8.25%
SNDX,Syndax Pharmaceuticals Inc,53.00%,5.57%,16.61%,6.64%,80.86%,8.24%
GFAI,Guardforce AI Co Ltd,0.00%,1.17%,-30.29%,92.94%,24.24%,8.23%
SONO,Sonos Inc,-39.00%,-20.81%,-22.12%,46.51%,30.64%,8.23%
VZIO,Vizio Holding Corp,-52.00%,18.37%,28.83%,52.91%,61.36%,8.23%
ARIS,Aris Water Solutions Inc,0.00%,0.48%,0.74%,24.81%,76.24%,8.22%
ITOS,iTeos Therapeutics Inc,9.00%,-1.02%,4.41%,48.33%,67.12%,8.22%
MTDR,Matador Resources Co,107.00%,8.22%,12.89%,15.52%,131.26%,8.21%
HIMS,Hims & Hers Health Inc,-19.00%,8.65%,22.00%,27.06%,150.74%,8.20%
CHRW,CH Robinson Worldwide Inc,27.00%,5.35%,9.97%,0.34%,34.73%,8.19%
IIPR,Innovative Industrial Properties Inc,-60.00%,2.44%,-10.62%,67.24%,6.77%,8.19%
PRO,"PROS Holdings, Inc.",-35.00%,3.85%,2.35%,39.10%,22.38%,8.19%
RADI,Radius Global Infrastructure Inc,-6.00%,5.38%,6.72%,20.54%,27.61%,8.19%
ONL,Orion Office REIT Inc,0.00%,1.36%,-3.69%,67.01%,5.98%,8.18%
TZOO,Travelzoo,-57.00%,4.81%,0.74%,59.21%,15.64%,8.18%
CENN,Cenntro Electric Group Ltd,-81.00%,-0.79%,-7.72%,89.27%,44.76%,8.17%
VBIV,VBI Vaccines Inc,-62.00%,17.00%,21.43%,70.60%,74.86%,8.14%
,Charge Enterprises Inc,0.00%,0.96%,-25.40%,66.31%,14.46%,8.12%
PRAX,Praxis Precision Medicines Inc,-66.00%,12.27%,3.16%,79.75%,192.64%,8.12%
GOGO,Gogo Inc,28.00%,1.35%,0.76%,29.46%,42.46%,8.10%
LCII,LCI Industries,-11.00%,3.37%,8.74%,19.97%,35.71%,8.09%
FTCH,Farfetch Ltd,-78.00%,10.38%,13.23%,79.47%,48.93%,8.08%
BTMD,biote Corp,-54.00%,3.37%,-11.90%,57.72%,122.50%,8.07%
LAW,CS Disco Inc,-45.00%,-84.79%,-80.20%,58.71%,68.99%,8.07%
WOLF,Wolfspeed Inc,0.00%,5.78%,12.02%,38.64%,50.39%,8.07%
SMFR,Sema4 Holdings Corp,-81.00%,18.83%,24.58%,82.45%,100.00%,8.06%
FOLD,"Amicus Therapeutics, Inc.",20.00%,5.83%,15.18%,0.24%,115.40%,8.03%
SONM,Sonim Technologies Inc,0.00%,17.92%,25.28%,90.09%,53.26%,8.03%
BARK,Bark Inc,-76.00%,23.39%,25.60%,77.01%,71.20%,8.02%
LKFN,Lakeland Financial Corporation,6.00%,4.20%,8.75%,9.77%,23.86%,8.02%
LC,LendingClub Corp,-48.00%,4.72%,8.50%,69.05%,36.41%,8.02%
AYLA,Ayala Pharmaceuticals Inc,-89.00%,-7.45%,-14.99%,90.57%,101.43%,8.01%
CCS^G12,Century Communities Inc,-27.00%,4.03%,5.28%,39.73%,33.00%,8.01%
CRF,Cornerstone Total Return Fund Inc,-5.00%,4.23%,6.68%,27.82%,38.33%,8.01%
OMEX,Odyssey Marine Exploration Inc,-56.00%,2.46%,-10.45%,63.22%,27.52%,8.00%
TBLT,Toughbuilt Industries Inc,-94.00%,-14.88%,-17.33%,93.80%,385.82%,76.59%
KMX,"CarMax, Inc",-22.00%,2.53%,5.26%,35.88%,18.55%,7.98%
GOTU,Gaotu Techedu Inc (ADR),-45.00%,-3.40%,-8.17%,65.28%,38.26%,7.98%
NSIT,"Insight Enterprises, Inc.",-6.00%,1.56%,1.69%,17.42%,11.13%,7.97%
RGR,Sturm Ruger & Company Inc,-28.00%,-2.79%,-7.45%,30.54%,2.20%,7.97%
TARS,Tarsus Pharmaceuticals Inc,-33.00%,8.49%,15.52%,43.39%,62.50%,7.97%
GWH,ESS Tech Inc,0.00%,16.76%,21.70%,84.92%,68.34%,7.96%
SLCA,US Silica Holdings Inc,50.00%,7.97%,10.96%,34.31%,95.85%,7.95%
MREO,Mereo BioPharma Group plc - ADR,-49.00%,6.67%,9.89%,58.70%,301.99%,7.94%
CLDX,"Celldex Therapeutics, Inc.",-17.00%,8.72%,18.98%,34.76%,88.01%,7.93%
OMCL,"Omnicell, Inc.",-30.00%,0.29%,-2.22%,42.69%,3.58%,7.93%
KALV,Kalvista Pharmaceuticals Inc,-29.00%,10.01%,18.75%,37.01%,71.38%,7.92%
TDC,Teradata Corporation,-35.00%,-2.30%,-5.68%,39.91%,6.89%,7.92%
VIEW,View Inc,-58.00%,5.17%,17.15%,63.97%,554.91%,7.92%
IMPP,Imperial Petroleum Inc,0.00%,-5.43%,-39.95%,96.18%,2.86%,7.91%
XERS,Xeris Biopharma Holdings Inc,-21.00%,8.86%,7.76%,39.09%,54.40%,7.91%
TTGT,TechTarget Inc,-14.00%,5.13%,6.85%,37.54%,22.49%,7.90%
EBS,Emergent Biosolutions Inc,-50.00%,-2.56%,-5.54%,53.14%,13.59%,7.89%
GO,Grocery Outlet Holding Corp,54.00%,-6.35%,-3.38%,9.29%,100.19%,7.89%
ORGN,Origin Materials Inc,4.00%,10.29%,17.12%,13.33%,50.97%,7.88%
EAR,Eargo Inc,-97.00%,10.15%,-7.66%,97.17%,50.72%,7.86%
AVPT,AvePoint Inc,-45.00%,-3.57%,-0.84%,49.63%,40.21%,7.85%
GHL,"Greenhill & Co., Inc.",-43.00%,3.19%,-5.66%,56.40%,15.82%,7.83%
KOSS,Koss Corporation,-52.00%,4.04%,12.22%,61.21%,77.80%,7.82%
GTLB,Gitlab Inc,0.00%,7.43%,18.13%,50.12%,122.28%,7.81%
ZD,Ziff Davis Inc,-39.00%,1.90%,3.51%,38.90%,20.56%,7.81%
MKTW,MarketWise Inc,-68.00%,13.34%,14.46%,73.54%,53.07%,7.80%
VIVO,"Meridian Bioscience, Inc.",64.00%,1.04%,5.48%,4.73%,90.41%,7.80%
MRUS,Merus NV,35.00%,-3.97%,3.24%,20.46%,95.47%,7.80%
DRIO,DarioHealth Corp,-50.00%,10.55%,12.95%,67.10%,55.23%,7.79%
RPD,Rapid7 Inc,-41.00%,0.85%,-3.74%,53.72%,11.06%,7.79%
AOSL,Alpha and Omega Semiconductor Ltd,38.00%,7.55%,10.52%,45.98%,55.47%,7.77%
LYLT,Loyalty Ventures Inc,0.00%,-9.22%,-81.25%,97.02%,6.88%,7.77%
KRON,Kronos Bio Inc,-75.00%,7.08%,12.55%,80.21%,67.23%,7.76%
AIV,Apartment Investment and Management Co,33.00%,11.64%,22.83%,0.33%,72.99%,7.75%
BODY,Beachbody Company Inc,-83.00%,9.91%,8.31%,85.84%,41.73%,7.72%
CDRE,Cadre Holdings Inc,0.00%,2.23%,8.99%,6.70%,87.71%,7.72%
LZB,La-Z-Boy Incorporated,-21.00%,4.92%,9.88%,28.56%,28.64%,7.72%
PGNY,Progyny Inc,-4.00%,14.00%,23.72%,34.32%,74.80%,7.72%
SHLX,Shell Midstream Partners LP,26.00%,0.74%,5.59%,1.68%,46.93%,7.72%
VLCN,Volcon Inc,0.00%,12.45%,20.63%,89.14%,105.24%,7.72%
WNC,Wabash National Corporation,17.00%,5.41%,13.90%,17.29%,46.28%,7.71%
CSIQ,Canadian Solar Inc,1.00%,8.57%,18.82%,2.83%,89.26%,7.70%
LCID,Lucid Group Inc,-24.00%,0.30%,-1.74%,68.45%,37.51%,7.70%
