Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
KPRX,Kiora Pharmaceuticals Inc,-91.00%,-6.29%,-77.26%,93.38%,10.71%,0.60%
MIGI,Mawson Infrastructure Group Inc,0.00%,7.28%,-41.08%,94.96%,26.09%,0.60%
PNBK,Patriot National Bancorp Inc,27.00%,0.29%,-6.24%,33.33%,36.05%,0.60%
PCSA,Processa Pharmaceuticals Inc,-45.00%,1.12%,3.33%,64.02%,115.67%,0.60%
SOFO,Sonic Foundry Inc,0.00%,-5.22%,-17.94%,68.93%,5.23%,0.60%
CX,Cemex SAB de CV (ADR),-44.00%,7.23%,10.87%,45.41%,40.37%,0.59%
ELMD,"Electromed, Inc.",-20.00%,1.44%,-5.08%,32.49%,6.86%,0.59%
EVGN,Evogene Ltd,-65.00%,12.58%,18.63%,70.67%,54.41%,0.59%
INVO,Invo Bioscience Inc,-75.00%,3.28%,0.25%,75.95%,63.31%,0.59%
LPL,LG Display Co Ltd. (ADR),-30.00%,4.01%,2.85%,42.49%,14.29%,0.59%
MTEM,Molecular Templates Inc,-88.00%,6.65%,-9.28%,89.75%,13.03%,0.59%
NANX,Nanophase Technologies Corporation,19.00%,0.02%,-0.33%,32.13%,93.59%,0.59%
PBT,Permian Basin Royalty Trust,258.00%,-1.02%,4.89%,17.50%,275.54%,0.59%
PWFL,PowerFleet Inc,-54.00%,14.16%,22.34%,55.99%,56.80%,0.59%
RDI,"Reading International, Inc.",-14.00%,1.82%,10.62%,18.05%,39.69%,0.59%
WMPN,William Penn Bancorp,-8.00%,0.47%,-0.83%,11.34%,1.87%,0.59%
XBIO,Xenetic Biosciences Inc,-76.00%,2.35%,7.59%,79.95%,96.12%,0.59%
ATXI,Avenue Therapeutics Inc,-83.00%,3.09%,-1.26%,84.01%,47.95%,0.58%
ELOX,Eloxx Pharmaceuticals Inc,-80.00%,11.78%,8.96%,85.69%,28.76%,0.58%
GLP,Global Partners LP,24.00%,4.10%,7.60%,11.96%,36.97%,0.58%
HUDI,Huadi International Group Co,306.00%,-0.18%,-12.11%,50.70%,521.91%,0.58%
IMRA,Imara Inc,-74.00%,-1.79%,-3.49%,79.19%,21.16%,0.58%
NHTC,Natural Health Trends Corp.,-24.00%,5.82%,4.73%,29.82%,18.89%,0.58%
ORTX,Orchard Therapeutics PLC - ADR,-77.00%,2.28%,2.65%,79.88%,55.32%,0.58%
PM,Philip Morris International Inc.,-3.00%,1.50%,1.42%,12.76%,14.58%,0.58%
RVSN,Rail Vision Ltd,0.00%,4.08%,-0.03%,67.83%,40.28%,0.58%
RRTS,Roadrunner Transportation Systems Inc,-32.00%,3.70%,5.23%,41.93%,"1,080.00%",0.58%
SGTX,Sigilon Therapeutics Inc,-87.00%,-5.08%,-15.57%,89.31%,8.60%,0.58%
VNCE,Vince Holding Corp,0.00%,3.06%,0.80%,35.09%,18.64%,0.58%
VJET,Voxeljet AG (ADR),-52.00%,17.48%,26.20%,54.16%,49.45%,0.58%
BTWN,Bridgetown Holdings Ltd,2.00%,0.11%,0.36%,4.60%,2.57%,0.57%
BAM,Brookfield Asset Management Inc,-7.00%,5.59%,9.60%,15.20%,25.49%,0.57%
CGBD,Carlyle Secured Lending Inc,-2.00%,5.09%,7.02%,5.52%,16.27%,0.57%
GANX,Gain Therapeutics Inc,-47.00%,2.50%,7.55%,57.95%,75.97%,0.57%
GPAC,Global Partner Acquisition II Corp,2.00%,0.06%,0.34%,0.22%,3.22%,0.57%
JPM,JPMorgan Chase & Co,-26.00%,4.57%,3.94%,31.55%,11.63%,0.57%
MEC,Mayville Engineering Company Inc,-56.00%,6.03%,1.77%,64.88%,11.70%,0.57%
OSG,Overseas Shipholding Group Inc.,3.00%,7.57%,16.01%,6.32%,62.80%,0.57%
SSIC,Silver Spike Investment Corp,0.00%,-4.29%,-10.16%,41.27%,17.46%,0.57%
SWKH,SWK Holdings Corp,9.00%,0.37%,-0.22%,8.61%,13.17%,0.57%
BBLG,Bone Biologics Corp,0.00%,7.22%,6.50%,78.38%,42.59%,0.56%
CSBR,Champions Oncology Inc,-12.00%,5.35%,12.16%,15.36%,36.71%,0.56%
FVT,Fortress Value Acquisition III Corp,2.00%,0.06%,0.28%,0.30%,2.28%,0.56%
MA,Mastercard Inc,-3.00%,1.19%,3.46%,11.64%,16.38%,0.56%
NCNA,NuCana PLC (ADR),-28.00%,-0.18%,19.41%,53.31%,199.75%,0.56%
OTIC,Otonomy Inc,-76.00%,-70.76%,-265.40%,85.71%,54.17%,0.56%
OVID,Ovid Therapeutics Inc,-43.00%,3.48%,4.45%,47.38%,33.94%,0.56%
REED,"Reed's, Inc.",-73.00%,-0.44%,2.64%,73.61%,57.14%,0.56%
SBET,Sharplink Gaming Ltd,-84.00%,16.72%,19.83%,85.44%,45.58%,0.56%
SIF,SIFCO Industries Inc,-61.00%,2.46%,1.38%,65.61%,23.05%,0.56%
SSBK,Southern States Bancshares Inc,19.00%,1.59%,3.33%,10.02%,24.07%,0.56%
SRZN,Surrozen Inc,-71.00%,-3.90%,-4.12%,79.06%,48.04%,0.56%
UNH,UnitedHealth Group Inc,31.00%,1.55%,4.53%,2.81%,40.35%,0.56%
VCNX,Vaccinex Inc,-53.00%,2.20%,-1.68%,56.73%,23.33%,0.56%
AGFS,AgroFresh Solutions Inc,-8.00%,1.66%,4.89%,24.18%,21.71%,0.55%
AMAL,Amalgamated Bank,49.00%,2.67%,10.10%,5.39%,75.67%,0.55%
BTTX,Better Therapeutics Inc,-82.00%,-5.18%,-2.16%,93.91%,96.27%,0.55%
BIOC,Biocept Inc,-73.00%,7.65%,1.78%,74.44%,35.12%,0.55%
BQ,Boqii Holding Ltd (ADR),-86.00%,-0.38%,5.11%,88.82%,57.44%,0.55%
CB,Chubb Ltd,5.00%,4.01%,2.53%,12.51%,11.42%,0.55%
CVLY,"Codorus Valley Bancorp, Inc.",-9.00%,-3.28%,-7.88%,16.26%,0.99%,0.55%
BAP,Credicorp Ltd. (USA),41.00%,3.01%,5.71%,22.13%,59.92%,0.55%
CVV,CVD Equipment Corporation,56.00%,11.19%,24.79%,0.00%,74.18%,0.55%
FEN,First Trust Energy Income & Growth Fund,14.00%,1.16%,1.98%,6.06%,25.75%,0.55%
ISPC,iSpecimen Inc,-63.00%,1.69%,-6.65%,91.99%,12.08%,0.55%
NRSN,Neurosense Therapeutics Ltd,0.00%,7.01%,4.95%,76.77%,54.47%,0.55%
NISN,Nisun Internatnal Entpre Dev Grp Co Ltd,-91.00%,0.66%,7.12%,94.65%,79.80%,0.55%
PG,Procter & Gamble Co,2.00%,1.21%,1.14%,11.52%,12.97%,0.55%
ACXP,Acurx Pharmaceuticals Inc,0.00%,4.74%,14.05%,19.26%,105.15%,0.54%
JG,Aurora Mobile Ltd - ADR,-53.00%,3.43%,3.12%,60.90%,38.67%,0.54%
BRFH,Barfresh Food Group Inc,0.00%,-13.89%,-31.05%,70.25%,27.51%,0.54%
BWAC,Better World Acquisition Corp,4.00%,0.43%,0.78%,1.14%,4.22%,0.54%
CRU,Crucible Acquisition Corp,2.00%,0.05%,0.29%,0.20%,2.60%,0.54%
CYCN,Cyclerion Therapeutics Inc,-71.00%,0.53%,12.75%,73.50%,108.11%,0.54%
MAYS,J W Mays Inc,85.00%,9.34%,19.50%,12.90%,71.95%,0.54%
MMLP,Martin Midstream Partners L.P.,28.00%,-6.98%,-6.43%,31.44%,62.70%,0.54%
OXBR,Oxbridge Re Holdings Ltd,-22.00%,-7.07%,-19.79%,55.12%,30.08%,0.54%
SISI,Shineco Inc,-85.00%,5.87%,-19.93%,93.80%,13.89%,0.54%
STG,Sunlands Technology Group - ADR,-27.00%,-2.67%,-0.58%,36.94%,145.83%,0.54%
SUP,Superior Industries International Inc,-39.00%,9.71%,18.69%,41.13%,64.31%,0.54%
TEKK,Tekkorp Digital Acquisition Corp,2.00%,0.12%,0.41%,4.23%,3.53%,0.54%
CGA,"China Green Agriculture, Inc",-46.00%,-0.15%,-20.45%,62.74%,8.39%,0.53%
NXPL,NextPlat Corp,-53.00%,22.46%,27.67%,65.10%,70.40%,0.53%
PEAR,Pear Therapeutics Inc,-80.00%,5.89%,-8.65%,86.30%,49.25%,0.53%
SPCB,Supercom Ltd,-74.00%,8.48%,5.12%,75.52%,15.08%,0.53%
TSM,Taiwan Semiconductor Mfg. Co. Ltd. (ADR),-23.00%,3.26%,3.58%,38.85%,20.25%,0.53%
VYNT,Vyant Bio Inc,-70.00%,-0.51%,-2.37%,75.49%,32.37%,0.53%
BREZ,Breeze Holdings Acquisition Corp,3.00%,0.06%,0.24%,5.41%,2.89%,0.52%
CAPL,Crossamerica Partners LP,13.00%,0.92%,1.40%,10.56%,20.64%,0.52%
EDSA,Edesa Biotech Inc,-56.00%,5.27%,7.74%,83.17%,54.97%,0.52%
LLY,Eli Lilly And Co,15.00%,-0.95%,-1.67%,9.16%,38.33%,0.52%
IIII,Insu Acquisition Corp III,2.00%,0.15%,0.38%,0.10%,2.70%,0.52%
LBPH,Longboard Pharmaceuticals Inc,-57.00%,20.40%,20.17%,66.90%,32.39%,0.52%
PFDR,Pathfinder Acquisition Corp,0.00%,0.03%,0.29%,1.20%,1.96%,0.52%
SLDB,Solid Biosciences Inc,-72.00%,7.39%,12.90%,78.03%,78.86%,0.52%
UBX,Unity Biotechnology Inc,-73.00%,32.91%,41.67%,74.17%,76.36%,0.52%
AMTY,Amerityre Corp,-34.00%,-1.52%,-4.49%,47.67%,27.84%,0.51%
CLST,Catalyst Bancorp Inc,0.00%,-0.84%,-1.02%,6.67%,9.31%,0.51%
DXYN,Dixie Group Inc,-63.00%,7.61%,3.18%,78.13%,25.10%,0.51%
EEIQ,Elite Education Group International Ltd,-48.00%,0.02%,0.05%,82.77%,26.24%,0.51%
WILC,G Willi-Food International Ltd,-33.00%,1.80%,-0.76%,35.02%,18.34%,0.51%
KEQU,Kewaunee Scientific Corporation,37.00%,0.23%,7.37%,4.55%,51.20%,0.51%
LYRA,Lyra Therapeutics Inc,-13.00%,3.90%,10.50%,35.37%,95.45%,0.51%
MSFT,Microsoft Corporation,0.00%,3.81%,7.20%,17.30%,19.73%,0.51%
NRP,Natural Resource Partners LP,102.00%,2.13%,4.01%,14.63%,117.99%,0.51%
NRIM,"Northrim BanCorp, Inc.",-7.00%,1.33%,1.07%,14.81%,4.99%,0.51%
POW,Powered Brands,2.00%,0.08%,0.39%,0.50%,2.91%,0.51%
TBCP,Thunder Bridge Capital Partners III Inc,2.00%,0.22%,0.44%,0.30%,2.82%,0.51%
VINP,Vinci Partners Investments Ltd,-16.00%,2.20%,0.99%,25.60%,26.51%,0.51%
BCDA,BioCardia Inc,-54.00%,4.41%,3.15%,62.12%,36.34%,0.50%
CNF,CNFinance Holdings Ltd - ADR,-43.00%,-1.56%,-7.78%,63.25%,10.43%,0.50%
CNSP,CNS Pharmaceuticals Inc,-85.00%,5.23%,-2.08%,85.48%,25.60%,0.50%
DTEA,DavidsTea Inc,-60.00%,13.72%,9.90%,65.88%,42.86%,0.50%
FNHC,Fednat Holding Co,-87.00%,3.65%,-10.59%,89.51%,27.04%,0.50%
GEOS,Geospace Technologies Corporation,-55.00%,0.80%,-2.85%,57.04%,14.63%,0.50%
HCTI,Healthcare Triangle Inc,0.00%,-5.19%,-17.32%,83.22%,19.65%,0.50%
JWSM,Jaws Mustang Acquisition Corp,2.00%,0.04%,0.27%,0.20%,2.49%,0.50%
FINM,Marlin Technology Corp,2.00%,0.14%,0.40%,0.40%,2.59%,0.50%
MHH,Mastech Digital Inc,-5.00%,3.74%,1.33%,29.13%,21.63%,0.50%
NUO,Nuveen Ohio Quality Income Muncpl Fund,-19.00%,0.95%,2.80%,19.50%,10.54%,0.50%
QRHC,Quest Resource Holding Corp,-21.00%,5.37%,6.95%,44.10%,28.89%,0.50%
BHV,BlackRock Virginia Municipal Bond Trust,-24.00%,3.05%,6.54%,30.18%,32.07%,0.49%
BLIN,Bridgeline Digital Inc,-74.00%,0.56%,-1.57%,78.62%,22.64%,0.49%
CULP,"Culp, Inc.",-65.00%,0.68%,-2.05%,65.55%,25.25%,0.49%
LYL,Dragon Victory International Ltd,-35.00%,-0.25%,2.11%,53.99%,78.63%,0.49%
HALL,"Hallmark Financial Services, Inc.",-47.00%,-0.21%,-4.79%,48.84%,6.93%,0.49%
BXMX,Nuveen S&P 500 BuyWrite Income Fund,-6.00%,2.06%,4.51%,8.41%,15.97%,0.49%
OFED,Oconee Federal Financial Corp,-2.00%,4.02%,1.62%,18.56%,9.29%,0.49%
DNAB,Social Capital Suvretta Holdings Corp II,-1.00%,-0.15%,0.08%,2.35%,1.77%,0.49%
TENX,Tenax Therapeutics Inc,-81.00%,4.46%,-24.59%,84.59%,29.23%,0.49%
TSQ,Townsquare Media Inc,-26.00%,6.55%,6.78%,38.75%,21.81%,0.49%
ZDGE,Zedge Inc,-78.00%,4.27%,-4.29%,79.71%,41.98%,0.49%
ANGN,Angion Biomedica Corp,-90.00%,-2.60%,-20.31%,92.74%,4.88%,0.48%
ARBK,Argo Blockchain PLC - ADR,0.00%,14.35%,15.85%,72.76%,54.18%,0.48%
EYEN,Eyenovia Inc,-59.00%,0.37%,-8.67%,73.60%,10.06%,0.48%
GGE^C17,Green Giant Inc,59.00%,5.43%,24.91%,15.00%,269.57%,0.48%
GNAC,Group Nine Acquisition Corp,2.00%,0.30%,0.67%,0.00%,2.91%,0.48%
IROQ,IF Bancorp Inc,-20.00%,3.16%,-2.60%,34.94%,7.89%,0.48%
PDEX,Pro-Dex Inc,-45.00%,4.52%,6.62%,47.90%,34.45%,0.48%
PYXS,Pyxis Oncology Inc,0.00%,2.85%,4.61%,84.47%,50.51%,0.48%
RPHM,Reneo Pharmaceuticals Inc,-70.00%,-1.45%,-1.13%,77.37%,34.38%,0.48%
RSG,"Republic Services, Inc.",19.00%,3.16%,7.27%,2.08%,25.86%,0.48%
EDI,Stone Harbor Emergng Mrkts Ttl Incm Fund,-41.00%,1.39%,0.78%,0.00%,0.00%,0.48%
TSRI,TSR Inc,3.00%,2.93%,9.55%,46.24%,31.27%,0.48%
WKEY,Wisekey International Holding AG - ADR,-79.00%,1.81%,-4.22%,86.29%,14.22%,0.48%
BRID,Bridgford Foods Corporation,10.00%,-2.19%,2.73%,9.10%,37.32%,0.47%
ETY,Eaton Vance Tax Managed Diversified Eq.,-11.00%,3.68%,6.76%,0.00%,0.00%,0.47%
XGN,Exagen Inc,-58.00%,-23.59%,-28.43%,64.56%,27.23%,0.47%
GAIA,Gaia Inc,-70.00%,-7.87%,-26.08%,70.83%,2.20%,0.47%
IMNM,Immunome Inc,-66.00%,14.53%,24.51%,82.63%,131.10%,0.47%
LINK,Interlink Electronics Inc,-6.00%,3.49%,3.42%,21.65%,17.37%,0.47%
ITI,Iteris Inc,-53.00%,11.43%,14.98%,54.51%,22.92%,0.47%
JSPR,Jasper Therapeutics Inc,-79.00%,5.95%,-1.48%,88.88%,21.39%,0.47%
KRMD,KORU Medical Systems Inc,-30.00%,-0.28%,1.35%,38.13%,34.62%,0.47%
MFGP,Micro Focus International PLC - ADR,-37.00%,4.82%,-1.25%,45.14%,19.14%,0.47%
OSS,One Stop Systems Inc,-33.00%,2.72%,2.28%,35.42%,7.61%,0.47%
ORN,Orion Group Holdings Inc,-53.00%,3.86%,7.11%,54.83%,24.76%,0.47%
PRQR,ProQR Therapeutics NV,-87.00%,3.46%,2.37%,90.76%,58.47%,0.47%
PULM,Pulmatrix Inc,-68.00%,-2.43%,-2.48%,75.10%,28.46%,0.47%
ABCM,Abcam PLC (ADR),-25.00%,3.81%,5.15%,36.46%,21.61%,0.46%
ASYS,"Amtech Systems, Inc.",-13.00%,9.41%,12.32%,44.87%,30.63%,0.46%
AZN,AstraZeneca plc (ADR),15.00%,1.10%,1.54%,7.53%,23.62%,0.46%
BIOX,Bioceres Crop Solutions Corp,-12.00%,7.24%,4.48%,27.63%,28.26%,0.46%
BIT,Blackrock Multi-Sector Income Trust,-12.00%,2.47%,6.82%,14.47%,22.43%,0.46%
FST,Fast Acquisition Corp,-15.00%,0.16%,0.17%,22.78%,1.60%,0.46%
GNSS,Genasys Inc,-36.00%,-3.28%,-2.24%,40.51%,44.99%,0.46%
GRVY,"Gravity Co., LTD. (ADR)",-47.00%,3.13%,2.79%,55.12%,26.36%,0.46%
IEP,Icahn Enterprises LP,-8.00%,2.35%,5.20%,7.93%,14.92%,0.46%
MCHX,"Marchex, Inc.",-36.00%,5.18%,11.86%,44.21%,64.63%,0.46%
CIF,MFS Intermediate High Income Fund,-34.00%,2.25%,3.82%,35.65%,12.70%,0.46%
OPRA,Opera Ltd,-46.00%,0.50%,1.46%,51.43%,25.68%,0.46%
ID^G11,Parts Id Inc,-74.00%,28.71%,34.74%,79.68%,61.63%,0.46%
SQL,SeqLL Inc,0.00%,1.36%,6.54%,81.90%,72.13%,0.46%
TAOP,Taoping Inc,-73.00%,-3.72%,-16.13%,77.20%,17.40%,0.46%
TIMB,Tim SA (ADR),14.00%,2.56%,1.15%,18.96%,28.95%,0.46%
VERO,Venus Concept Inc,-74.00%,-7.82%,-19.54%,80.20%,27.28%,0.46%
VIVE,Viveve Medical Inc,-69.00%,9.55%,9.89%,75.49%,27.97%,0.46%
ALIM,Alimera Sciences Inc,-19.00%,3.32%,13.23%,29.32%,75.63%,0.45%
CREX,Creative Realities Inc,-65.00%,1.58%,0.81%,81.34%,21.82%,0.45%
EVN,Eaton Vance Municipal Income Trust,-17.00%,0.90%,3.47%,17.20%,14.33%,0.45%
EFOI,Energy Focus Inc,-74.00%,-9.17%,-40.69%,86.80%,22.06%,0.45%
HZN,Horizon Global Corp,-82.00%,2.06%,-25.34%,83.43%,11.54%,0.45%
HOTH,Hoth Therapeutics Inc,-66.00%,1.82%,2.66%,74.21%,18.76%,0.45%
HURC,"Hurco Companies, Inc.",-25.00%,2.34%,0.19%,28.21%,6.86%,0.45%
JNJ,Johnson & Johnson,-3.00%,-3.21%,-5.18%,8.58%,9.60%,0.45%
MDRR,Medalist Diversified REIT Inc,-27.00%,1.05%,-0.81%,46.06%,8.42%,0.45%
SPRB,Spruce Biosciences Inc,-74.00%,1.66%,6.90%,77.18%,56.80%,0.45%
WBEV,Winc Inc,0.00%,-10.65%,-26.36%,89.08%,24.00%,0.45%
AWRE,Aware Inc,-45.00%,4.09%,-1.33%,47.53%,14.36%,0.44%
BTN,Ballantyne Strong Inc,-29.00%,0.86%,1.04%,32.68%,15.92%,0.44%
BLPH,Bellerophon Therapeutics Inc,-68.00%,2.32%,5.46%,71.49%,91.04%,0.44%
REFI,Chicago Atlantic Real Estate Fin Inc,0.00%,3.35%,1.72%,25.58%,8.87%,0.44%
CS,Credit Suisse Group AG (ADR),-45.00%,4.17%,-0.14%,48.55%,12.48%,0.44%
EOS,Eaton Vance Enhanced Equity Incm. Fd. II,-21.00%,3.19%,6.92%,25.72%,23.00%,0.44%
ENTX,Entera Bio Ltd,-66.00%,0.36%,0.75%,67.75%,43.51%,0.44%
CO,Global Cord Blood Corp,-47.00%,5.79%,-1.08%,52.36%,29.06%,0.44%
ISR,"IsoRay, Inc.",-44.00%,3.49%,11.41%,51.99%,42.80%,0.44%
LUXA,Lux Health Tech Acquisition Corp,1.00%,0.08%,0.32%,1.78%,2.69%,0.44%
PLAG,Planet Green Holdings Corp,-35.00%,-2.44%,1.76%,48.51%,155.91%,0.44%
RGCO,RGC Resources Inc.,-18.00%,2.62%,3.52%,18.76%,12.77%,0.44%
RMGC,RMG Acquisition Corp III,2.00%,0.11%,0.40%,0.15%,3.18%,0.44%
RVLP,RVL Pharmaceuticals PLC,-55.00%,16.67%,25.23%,57.19%,91.31%,0.44%
SERA,Sera Prognostics Inc,-78.00%,7.41%,18.23%,80.39%,120.00%,0.44%
SNDA,Sonida Senior Living Inc,-35.00%,1.79%,-14.46%,55.12%,4.05%,0.44%
WLKP,Westlake Chemical Partners LP,-5.00%,-0.07%,-0.25%,13.95%,14.58%,0.44%
ASX^D18,ASE Technology Holding Co Ltd (ADR),-30.00%,6.09%,6.11%,34.15%,26.84%,0.43%
AINC,Ashford Inc,3.00%,6.11%,10.41%,33.86%,46.67%,0.43%
BBD,Banco Bradesco SA (ADR),-9.00%,7.12%,8.62%,14.12%,26.62%,0.43%
BOAS,BOA Acquisition Corp,2.00%,0.03%,0.14%,0.80%,2.69%,0.43%
CPLP,Capital Product Partners L.P.,26.00%,-0.64%,-2.61%,25.65%,31.86%,0.43%
CLRM,Clarim Acquisition Corp,2.00%,0.02%,0.30%,0.20%,2.49%,0.43%
,Compania Cervecerias Unidas S.A. (ADR),-45.00%,0.50%,-6.81%,48.36%,4.15%,0.43%
CMCT,Creative Media & Community Trust Corp,-6.00%,0.79%,-0.12%,24.28%,15.61%,0.43%
DOGZ,Dogness International Corp,-22.00%,3.04%,-21.73%,81.18%,9.03%,0.43%
GETY,Getty Images Holdings Inc,0.00%,18.98%,46.88%,29.01%,242.11%,0.43%
HIL,Hill International Inc,-30.00%,2.30%,4.85%,33.07%,43.95%,0.43%
MESO,Mesoblast limited (ADR),-56.00%,-1.63%,1.44%,56.01%,57.48%,0.43%
SKM,SK Telecom Co Ltd (ADR),-53.00%,-1.72%,-5.08%,27.91%,3.79%,0.43%
WVVI,"Willamette Valley Vineyards, Inc.",-48.00%,1.63%,-1.16%,62.71%,12.07%,0.43%
ADOC,Edoc Acquisition Corp,3.00%,0.85%,1.41%,11.13%,3.09%,0.42%
GTE,Gran Tierra Energy Inc,133.00%,3.03%,-2.33%,44.18%,172.73%,0.42%
IVAC,"Intevac, Inc.",-6.00%,0.58%,-0.35%,18.39%,24.17%,0.42%
IIM,Invesco Value Municipal Income Trust,-17.00%,0.90%,3.67%,18.74%,17.08%,0.42%
LHAA,Lerer Hippeau Acquisition Corp,1.00%,0.43%,0.70%,2.29%,2.18%,0.42%
USA,Liberty All-Star Equity Fund,-18.00%,2.06%,3.13%,27.91%,16.38%,0.42%
LITB,Lightinthebox Holding Co Ltd-ADR,-25.00%,-3.05%,-8.34%,52.15%,14.93%,0.42%
LIVE,Live Ventures Inc,19.00%,-15.26%,-16.10%,36.65%,37.36%,0.42%
NEOV,NeoVolta Inc,0.00%,3.89%,-0.56%,46.31%,28.21%,0.42%
OBT,Orange County Bancorp Inc,-6.00%,-2.14%,-6.88%,18.35%,7.68%,0.42%
SYBX,Synlogic Inc,-66.00%,8.94%,2.34%,75.74%,18.63%,0.42%
TRVI,Trevi Therapeutics Inc,103.00%,5.88%,20.60%,9.04%,826.09%,0.42%
VNTR,Venator Materials PLC,-39.00%,3.02%,-2.15%,47.26%,61.95%,0.42%
VRTB,"Vestin Realty Mortgage II, Inc.",58.00%,6.83%,0.00%,20.97%,58.07%,0.42%
WFCF,Where Food Comes From Inc,-19.00%,4.61%,6.65%,27.43%,37.25%,0.42%
DNZ,D and Z Media Acquisition Corp,2.00%,0.17%,0.47%,0.05%,2.76%,0.41%
GLOP,GasLog Partners LP,46.00%,3.35%,3.62%,21.30%,75.62%,0.41%
GMAB,Genmab A/S - ADR,-23.00%,3.16%,7.81%,27.27%,36.27%,0.41%
GIGA,"Giga-tronics, Incorporated",-58.00%,13.52%,-2.36%,64.87%,149.75%,0.41%
PAC,Grupo Aeroportr dl Pcfco SAB de CV (ADR),28.00%,5.81%,6.67%,12.58%,37.73%,0.41%
NSPR,InspireMD Inc,-53.00%,0.77%,-3.91%,62.06%,14.29%,0.41%
JWEL,Jowell Global Ltd,-54.00%,-13.33%,-21.53%,91.04%,66.19%,0.41%
LSAK,Lesaka Technologies Inc,32.00%,3.57%,9.23%,15.78%,50.51%,0.41%
MYO,Myomo Inc,-82.00%,-2.81%,-16.49%,88.08%,6.88%,0.41%
,Permianville Royalty Trust,76.00%,3.26%,-3.08%,43.87%,87.86%,0.41%
PGP,PIMCO Global StocksPLUS & Income Fund,-25.00%,-0.05%,2.38%,26.90%,18.68%,0.41%
PRPO,Precipio Inc,-52.00%,6.70%,17.82%,63.55%,67.03%,0.41%
SCOA,Scion Tech Growth I,2.00%,0.11%,0.35%,0.10%,3.01%,0.41%
SHAC,SCP & Healthcare Acquisition Co,2.00%,0.12%,0.36%,0.00%,2.49%,0.41%
SGHC,SGHC Limited,0.00%,3.97%,-1.67%,54.65%,45.13%,0.41%
SHPW,Shapeways Holdings Inc,0.00%,1.97%,-23.15%,92.74%,12.97%,0.41%
SMID,Smith-Midland Corporation,-8.00%,9.83%,16.22%,64.26%,33.15%,0.41%
TGEN,Tecogen Inc,-19.00%,-5.84%,-3.60%,29.27%,107.14%,0.41%
MIMO,Airspan Networks Holdings Inc,-68.00%,3.36%,5.75%,78.42%,44.35%,0.40%
ABIO,Arca Biopharma Inc,-19.00%,2.64%,2.92%,23.65%,41.52%,0.40%
AUTO,Autoweb Inc,-85.00%,-0.39%,-50.99%,91.15%,32.76%,0.40%
,Churchill Capital V Corp,1.00%,0.07%,0.32%,1.88%,7.27%,0.40%
FOF,"Cohen & Steers Clsd-End Optuny Fnd, Inc.",-17.00%,3.02%,6.35%,22.24%,21.01%,0.40%
FONR,Fonar Corporation,-11.00%,0.80%,-1.49%,22.36%,5.34%,0.40%
INOD,Innodata Inc,-18.00%,-22.49%,-15.00%,41.33%,52.78%,0.40%
KT,KT Corp (ADR),0.00%,-0.92%,-0.20%,5.03%,17.84%,0.40%
MRCC,Monroe Capital Corp,-20.00%,0.71%,-1.83%,24.89%,3.85%,0.40%
NKSH,National Bankshares Inc.,-14.00%,2.65%,3.64%,15.08%,9.03%,0.40%
BTA,BlackRock Long Term Municpl Advntg Trust,-12.00%,0.45%,4.11%,21.22%,20.87%,0.39%
PMTS,CPI Card Group Inc,0.00%,6.52%,13.76%,49.43%,93.32%,0.39%
CXDO,Crexendo Inc,-52.00%,8.35%,7.19%,57.71%,40.95%,0.39%
CYN,Cyngn Inc,0.00%,7.15%,-5.55%,87.84%,11.57%,0.39%
ETB,Eaton Vance Tax-Managed Buy-Write Income,-3.00%,1.57%,3.81%,8.74%,16.77%,0.39%
IOR,Income Opportunity Realty Investors Inc,-1.00%,1.58%,-0.51%,26.04%,25.02%,0.39%
IKT,Inhibikase Therapeutics Inc,-57.00%,6.00%,4.76%,65.96%,44.10%,0.39%
LJPC,La Jolla Pharmaceutical Company,51.00%,1.10%,15.32%,0.32%,101.95%,0.39%
LEGA,Lead Edge Growth Opportunities Ltd,0.00%,0.05%,0.36%,22.47%,2.07%,0.39%
LGL,LGL Group Inc,30.00%,-1.46%,3.57%,5.66%,43.74%,0.39%
LMDX,LumiraDx Ltd,0.00%,-2.40%,-48.15%,84.12%,35.38%,0.39%
GRIL,Muscle Maker Inc,-64.00%,10.05%,11.72%,79.94%,37.91%,0.39%
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,-8.00%,1.05%,2.53%,11.31%,13.76%,0.39%
OXSQ,Oxford Square Capital Corp,-17.00%,3.73%,5.22%,17.40%,14.20%,0.39%
TFSL,TFS Financial Corporation,-25.00%,3.91%,6.71%,26.24%,18.08%,0.39%
GIFI,"Gulf Island Fabrication, Inc.",-13.00%,7.81%,10.23%,15.32%,28.39%,0.38%
MDIA,Mediaco Holding Inc,-60.00%,3.78%,18.85%,71.31%,141.37%,0.38%
MTMT,Mega Matrix Corp,-85.00%,0.06%,-17.14%,92.28%,12.09%,0.38%
ONCY,Oncolytics Biotech Inc (USA),-41.00%,8.18%,14.72%,43.92%,56.60%,0.38%
PNNT,PennantPark Investment Corp.,0.00%,1.74%,0.88%,19.33%,8.01%,0.38%
USIO,Usio Inc,-57.00%,-30.60%,-40.22%,73.20%,35.09%,0.38%
